"days.to.today","cases.estimated","cases.estimated.sd","cases.reported","cases.reported.sd","cases.observed","cases.estimated.l95","cases.estimated.u95","cases.reported.l95","cases.reported.u95","new.cases.estimated","new.cases.reported"
-111,2032.66960641194,8.18550965981398,924.173172845138,6.3813023133685,NA,2016.62600747871,2048.71320534518,911.665820310936,936.68052537934,40.2157349952081,20.8081414900577
-110,2073.15906389981,7.82532997620849,945.019230165623,6.82303447613751,NA,2057.82141714644,2088.49671065318,931.646082592393,958.392377738852,40.489457487864,20.8460573204845
-109,2113.96529943885,7.55009095441148,965.924887781684,7.24667386785024,NA,2099.16712116821,2128.7634777095,951.721407000698,980.128368562671,40.8062355390434,20.9056576160616
-108,2155.1296406552,7.35931779892642,986.910630362569,7.65367068308713,NA,2140.70537776931,2169.5539035411,971.909435823719,1001.91182490142,41.1643412163517,20.9857425808851
-107,2196.69223552388,7.25111282544359,1007.99604434473,8.04521635829616,NA,2182.48005438601,2210.90441666175,992.227420282468,1023.76466840699,41.5625948686784,21.0854139821588
-106,2238.69264211135,7.22187008314564,1029.20013310733,8.42231300634317,779,2224.53777674838,2252.84750747431,1012.6923996149,1045.70786659977,42.0004065874664,21.2040887626043
-105,2281.17028446989,7.26633326704855,1050.54155728747,8.78581998638233,NA,2266.92827126648,2295.41229767331,1033.32135011416,1067.76176446078,42.477642358544,21.3414241801383
-104,2324.1648451098,7.37795784400099,1072.03883760742,9.13649385538741,NA,2309.70404773556,2338.62564248404,1054.13130965087,1089.94636556398,42.9945606399078,21.4972803199537
-103,2367.71663037839,7.54947066801946,1093.71053936787,9.4750212832729,NA,2352.91966786907,2382.51359288771,1075.13949765266,1112.28158108309,43.5517852685916,21.6717017604476
-102,2411.86688252168,7.77346962697895,1115.57542614359,9.80204541621268,844,2396.6308820528,2427.10288299056,1096.36341712782,1134.78743515937,44.1502521432853,21.8648867757224
-101,2456.65806347608,8.04294016460217,1137.65259590311,10.1181880602938,NA,2440.89390075346,2472.4222261987,1117.82094730493,1157.48424450129,44.7911809544034,22.077169759516
-100,2502.13411555447,8.35162539860651,1159.96160258307,10.4240682346225,888,2485.7649297732,2518.50330133574,1139.53042884321,1180.39277632293,45.4760520783861,22.3090066799632
-99,2548.34070408946,8.69424107362993,1182.52256599922,10.7203178588347,NA,2531.29999158515,2565.38141659378,1161.51074299591,1203.53438900254,46.2065885349984,22.5609634161494
-98,2595.32544647014,9.06656290630611,1205.35627257675,11.00759544964,NA,2577.55498317378,2613.0959097665,1183.78138549545,1226.93115965804,46.9847423806714,22.8337065775227
-97,2643.1381301326,9.46542534612652,1228.48426839487,11.2865981508148,NA,2624.58589645419,2661.69036381101,1206.36253601927,1250.60600077046,47.8126836624642,23.1279958181219
-96,2691.83092742435,9.88866758257581,1251.92894857237,11.558072686096,964,2672.4491389625,2711.21271588619,1229.27512610763,1274.58277103712,48.6927972917447,23.4446801775068
-95,2741.45860820488,10.3350529819747,1275.71364350867,11.8228254049646,NA,2721.20190436021,2761.71531204955,1252.54090571494,1298.8863813024,49.6276807805325,23.7846949362922
-94,2792.07875306606,10.80417958434,1299.86270344244,12.0817314500343,982,2770.90256108075,2813.25494505137,1276.18250980037,1323.54289708451,50.6201448611828,24.1490599337751
-93,2843.75196916705,11.2963915158698,1324.40158232145,12.3357433854623,NA,2821.61104179594,2865.89289653815,1300.22352528594,1348.57963935696,51.6732161009868,24.5388788790074
-92,2896.54211126632,11.8126958408537,1349.35692222292,12.5858993533015,NA,2873.38922741824,2919.69499511439,1324.68855949045,1374.02528495539,52.7901420992694,24.9553399014731
-91,2950.51650859512,12.3546865071922,1374.75663861295,12.833330708414,1048,2926.30132304102,2974.73169414921,1349.60331042445,1399.90996680144,53.9743973287987,25.3997163900228
-90,3005.74620076962,12.924475055311,1400.63000791992,13.0792691558679,NA,2980.41422966122,3031.07817187803,1374.99464037442,1426.26537546542,55.2296921745096,25.8733693069773
-89,3062.30618032516,13.5246273274598,1427.00775623282,13.3250533709982,NA,3035.79791076334,3088.81444988698,1400.89065162566,1453.12486083997,56.5599795555327,26.3777483128943
-88,3120.27565876712,14.1581052849449,1453.92215693801,13.572134477892,1093,3092.52577240863,3148.02554512561,1427.32077336135,1480.52354051468,57.969478441963,26.9144007051971
-87,3179.73833784514,14.8282124873337,1481.40712860074,13.8220813729138,NA,3150.67504136997,3208.80163432031,1454.31584910983,1508.49840809165,59.4626790780198,27.4849716627291
-86,3240.7826845958,15.5385437406174,1509.4983324152,14.0765844190154,NA,3210.32713886419,3271.23823032741,1481.90822695393,1537.08843787647,61.0443467506557,28.0912038144609
-85,3303.50223521259,16.2929379441637,1538.23328071541,14.3374578923746,1201,3271.56807684203,3335.43639358315,1510.13186324635,1566.33469818446,62.7195506167905,28.7349483002038
-84,3367.99591467964,17.0954346196569,1567.65145029687,14.6066412410952,NA,3334.48886282511,3401.50296653416,1539.02243346432,1596.28046712941,64.4936794670489,29.4181695814607
-83,3434.36836968146,17.9502344796597,1597.79439929333,14.8861985527946,NA,3399.18591010132,3469.55082926159,1568.61745012985,1626.97134845681,66.3724550018214,30.1429489964607
-82,3502.73032613345,18.8616644342137,1628.70589264554,15.1783161381397,NA,3465.76146384239,3539.69918842451,1598.95639301478,1658.45539227629,68.3619564519968,30.9114933522071
-81,3573.19896104846,19.8341481005284,1660.43203130857,15.4852984725449,1322,3534.32403077143,3612.0738913255,1630.08084630238,1690.78321631476,70.4686349150111,31.7261386630353
-80,3645.89830521102,20.8721807409856,1693.02139248489,15.8095613923019,NA,3604.98883095869,3686.80777946335,1662.03465215598,1724.0081328138,72.699344162555,32.5893611763177
-79,3720.95966542617,21.9803107489377,1726.52517558521,16.1536237138901,NA,3677.87825635825,3764.04107449409,1694.86407310599,1758.18627806444,75.061360215152,33.5037831003253
-78,3798.52206476138,23.1631280299772,1760.99735306753,16.520097614452,1437,3753.12233382263,3843.92179570014,1728.6179617432,1793.37674439186,77.5623993352101,34.4721774823158
