"Date";"Days from today";"Cases (reported)";"New daily cases (reported)";"Cases (total)";"New daily cases (total)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"CDC 25% ETU target";"CDC 45% reduced transmission target";"Reporting quotient"
"2015-02-24";"105";"141941 ( 87460, 196423)";"2964 (1366,  4561)";" 748469 ( 442811, 1054127)";"15571 ( 6986, 24156)";"179277 ( 80369, 278185)";"118265 ( 54432, 182098)";"22435 (10715, 34154)";"35175 (18950,  51400)";" 63315 ( 34110,  92520)";"40%"
"2015-02-23";"104";"138977 ( 86084, 191871)";"2903 (1344,  4463)";" 732898 ( 435785, 1030011)";"15264 ( 6861, 23667)";"175750 ( 78921, 272579)";"115865 ( 53518, 178212)";"21969 (10545, 33393)";"34458 (18612,  50305)";" 62025 ( 33502,  90548)";"40%"
"2015-02-22";"103";"136074 ( 84731, 187417)";"2844 (1321,  4367)";" 717634 ( 428884, 1006384)";"14961 ( 6739, 23183)";"172274 ( 77515, 267034)";"113504 ( 52627, 174381)";"21511 (10378, 32645)";"33754 (18282,  49225)";" 60757 ( 32908,  88606)";"40%"
"2015-02-21";"102";"133230 ( 83400, 183059)";"2786 (1300,  4272)";" 702673 ( 422104,  983241)";"14663 ( 6621, 22705)";"168850 ( 76149, 261552)";"111182 ( 51759, 170605)";"21062 (10215, 31909)";"33061 (17960,  48162)";" 59510 ( 32328,  86692)";"40%"
"2015-02-20";"101";"130444 ( 82091, 178797)";"2729 (1278,  4179)";" 688010 ( 415442,  960577)";"14370 ( 6506, 22233)";"165478 ( 74821, 256134)";"108900 ( 50913, 166886)";"20621 (10055, 31187)";"32380 (17645,  47116)";" 58284 ( 31760,  84808)";"40%"
"2015-02-19";"100";"127715 ( 80803, 174628)";"2672 (1258,  4087)";" 673640 ( 408894,  938386)";"14081 ( 6395, 21766)";"162157 ( 73531, 250783)";"106656 ( 50087, 163225)";"20188 ( 9899, 30477)";"31711 (17337,  46085)";" 57080 ( 31206,  82953)";"40%"
"2015-02-18";"99";"125043 ( 79536, 170550)";"2617 (1238,  3996)";" 659560 ( 402458,  916662)";"13796 ( 6286, 21306)";"158888 ( 72276, 245500)";"104451 ( 49281, 159621)";"19763 ( 9746, 29780)";"31054 (17036,  45071)";" 55896 ( 30664,  81129)";"40%"
"2015-02-17";"98";"122426 ( 78288, 166564)";"2563 (1218,  3907)";" 645764 ( 396129,  895398)";"13516 ( 6180, 20852)";"155671 ( 71054, 240287)";"102285 ( 48495, 156075)";"19346 ( 9596, 29096)";"30408 (16741,  44074)";" 54734 ( 30134,  79334)";"40%"
"2015-02-16";"97";"119863 ( 77060, 162667)";"2509 (1199,  3820)";" 632248 ( 389906,  874589)";"13241 ( 6078, 20404)";"152505 ( 69865, 235145)";"100157 ( 47726, 152587)";"18937 ( 9449, 28425)";"29773 (16453,  43094)";" 53592 ( 29615,  77569)";"40%"
"2015-02-15";"96";"117354 ( 75852, 158857)";"2457 (1180,  3734)";" 619007 ( 383785,  854229)";"12970 ( 5977, 19963)";"149392 ( 68708, 230076)";" 98067 ( 46975, 149158)";"18536 ( 9305, 27767)";"29151 (16171,  42130)";" 52471 ( 29108,  75835)";"40%"
"2015-02-14";"95";"114898 ( 74662, 155133)";"2405 (1162,  3649)";" 606037 ( 377764,  834310)";"12704 ( 5880, 19528)";"146330 ( 67580, 225081)";" 96015 ( 46241, 145788)";"18143 ( 9164, 27121)";"28539 (15895,  41184)";" 51371 ( 28611,  74131)";"40%"
"2015-02-13";"94";"112492 ( 73491, 151494)";"2355 (1144,  3566)";" 593333 ( 371840,  814826)";"12442 ( 5784, 19099)";"143320 ( 66480, 220161)";" 94000 ( 45522, 142478)";"17757 ( 9026, 26488)";"27939 (15625,  40254)";" 50291 ( 28125,  72457)";"40%"
"2015-02-12";"93";"110137 ( 72337, 147938)";"2305 (1126,  3484)";" 580892 ( 366012,  795771)";"12185 ( 5691, 18678)";"140362 ( 65408, 215316)";" 92023 ( 44819, 139226)";"17379 ( 8890, 25868)";"27350 (15360,  39341)";" 49231 ( 27648,  70813)";"40%"
"2015-02-11";"92";"107832 ( 71201, 144463)";"2256 (1109,  3404)";" 568707 ( 360275,  777138)";"11932 ( 5601, 18263)";"137455 ( 64361, 210548)";" 90082 ( 44131, 136034)";"17008 ( 8756, 25260)";"26773 (15101,  38444)";" 48191 ( 27182,  69199)";"40%"
"2015-02-10";"91";"105576 ( 70083, 141069)";"2209 (1092,  3326)";" 556775 ( 354630,  758921)";"11683 ( 5512, 17855)";"134598 ( 63339, 205857)";" 88178 ( 43456, 132900)";"16644 ( 8625, 24664)";"26206 (14847,  37565)";" 47170 ( 26724,  67616)";"40%"
"2015-02-09";"90";"103367 ( 68981, 137753)";"2162 (1075,  3249)";" 545092 ( 349072,  741111)";"11440 ( 5426, 17453)";"131792 ( 62341, 201243)";" 86310 ( 42795, 129826)";"16288 ( 8496, 24081)";"25650 (14598,  36702)";" 46169 ( 26276,  66063)";"40%"
"2015-02-08";"89";"101205 ( 67896, 134515)";"2116 (1059,  3173)";" 533652 ( 343601,  723703)";"11200 ( 5341, 17059)";"129037 ( 61366, 196708)";" 84478 ( 42147, 126810)";"15939 ( 8369, 23509)";"25104 (14354,  35855)";" 45188 ( 25837,  64539)";"40%"
"2015-02-07";"88";" 99089 ( 66827, 131352)";"2071 (1043,  3099)";" 522452 ( 338215,  706690)";"10965 ( 5258, 16671)";"126331 ( 60412, 192250)";" 82682 ( 41511, 123853)";"15597 ( 8245, 22950)";"24570 (14114,  35025)";" 44226 ( 25406,  63046)";"40%"
"2015-02-06";"87";" 97018 ( 65774, 128263)";"2027 (1027,  3026)";" 511487 ( 332911,  690064)";"10734 ( 5177, 16291)";"123675 ( 59479, 187872)";" 80920 ( 40887, 120954)";"15262 ( 8122, 22403)";"24046 (13879,  34212)";" 43282 ( 24983,  61582)";"40%"
"2015-02-05";"86";" 94992 ( 64736, 125247)";"1983 (1012,  2955)";" 500753 ( 327687,  673819)";"10508 ( 5098, 15917)";"121069 ( 58566, 183571)";" 79193 ( 40274, 118112)";"14934 ( 8001, 21867)";"23532 (13649,  33415)";" 42357 ( 24568,  60147)";"40%"
