"Date";"Days from today";"Caseload";"Administrator (coordination)";"Doctor (ETU)";"Doctor (coordination)";"Epidemiologist (contact tracing)";"Epidemiologist (coordination)";"Lab scientist (laboratories)";"Logistician (burials)";"Logistician (ETU)";"Logistician (coordination)";"Nurse (ETU)";"Public health specialist (Social mobilization)";"Public health specialist (coordination)";"Data management (coordination)";"Total personnel"
"2015-03-26";"135";"10088 ( -4923, 25099)";"11 ( -6, 28)";"23 (-11,  57)";" 6 (-2, 14)";"13 ( -6, 32)";"17 ( -8, 42)";"34 (-16,  84)";"17 ( -8, 42)";"45 (-22, 112)";"17 ( -8, 42)";" 90 ( -44, 224)";"26 (-12,  64)";"11 ( -6, 28)";"14 ( -7, 35)";"324 (149, 499)"
"2015-03-25";"134";" 9908 ( -4752, 24568)";"11 ( -5, 27)";"22 (-11,  55)";" 5 (-3, 13)";"12 ( -6, 30)";"16 ( -8, 40)";"33 (-16,  82)";"16 ( -8, 40)";"44 (-21, 109)";"16 ( -8, 40)";" 88 ( -42, 218)";"25 (-12,  62)";"11 ( -5, 27)";"14 ( -7, 35)";"313 (142, 484)"
"2015-03-24";"133";" 9731 ( -4586, 24048)";"11 ( -5, 27)";"22 (-10,  54)";" 5 (-3, 13)";"12 ( -6, 30)";"16 ( -8, 40)";"33 (-15,  81)";"16 ( -8, 40)";"43 (-21, 107)";"16 ( -8, 40)";" 87 ( -40, 214)";"25 (-12,  62)";"11 ( -5, 27)";"14 ( -6, 34)";"311 (144, 478)"
"2015-03-23";"132";" 9558 ( -4422, 23538)";"11 ( -4, 26)";"22 ( -9,  53)";" 5 (-3, 13)";"12 ( -5, 29)";"16 ( -7, 39)";"32 (-15,  79)";"16 ( -7, 39)";"43 (-19, 105)";"16 ( -7, 39)";" 85 ( -39, 209)";"24 (-12,  60)";"11 ( -4, 26)";"13 ( -7, 33)";"306 (143, 469)"
"2015-03-22";"131";" 9387 ( -4265, 23039)";"10 ( -5, 25)";"21 (-10,  52)";" 5 (-3, 13)";"12 ( -5, 29)";"15 ( -8, 38)";"31 (-15,  77)";"15 ( -8, 38)";"42 (-19, 103)";"15 ( -8, 38)";" 84 ( -37, 205)";"24 (-11,  59)";"10 ( -5, 25)";"13 ( -6, 32)";"297 (138, 456)"
"2015-03-21";"130";" 9220 ( -4110, 22550)";"10 ( -5, 25)";"21 ( -9,  51)";" 5 (-2, 12)";"12 ( -5, 29)";"15 ( -7, 37)";"31 (-14,  76)";"15 ( -7, 37)";"41 (-18, 100)";"15 ( -7, 37)";" 82 ( -37, 201)";"24 (-10,  58)";"10 ( -5, 25)";"13 ( -6, 32)";"294 (138, 450)"
"2015-03-20";"129";" 9055 ( -3960, 22070)";"10 ( -4, 24)";"20 ( -9,  49)";" 5 (-2, 12)";"11 ( -5, 27)";"15 ( -6, 36)";"30 (-14,  74)";"15 ( -6, 36)";"40 (-18,  98)";"15 ( -6, 36)";" 81 ( -35, 197)";"23 (-10,  56)";"10 ( -4, 24)";"13 ( -5, 31)";"288 (136, 440)"
"2015-03-19";"128";" 8894 ( -3813, 21601)";"10 ( -4, 24)";"20 ( -9,  49)";" 5 (-2, 12)";"11 ( -5, 27)";"15 ( -6, 36)";"30 (-13,  73)";"15 ( -6, 36)";"40 (-17,  97)";"15 ( -6, 36)";" 79 ( -34, 192)";"23 ( -9,  55)";"10 ( -4, 24)";"12 ( -6, 30)";"285 (137, 433)"
"2015-03-18";"127";" 8736 ( -3670, 21142)";"10 ( -4, 24)";"20 ( -8,  48)";" 5 (-2, 12)";"11 ( -5, 27)";"14 ( -6, 34)";"29 (-13,  71)";"14 ( -6, 34)";"39 (-16,  94)";"14 ( -6, 34)";" 78 ( -32, 188)";"22 (-10,  54)";"10 ( -4, 24)";"12 ( -5, 29)";"278 (133, 423)"
"2015-03-17";"126";" 8580 ( -3532, 20692)";" 9 ( -4, 22)";"19 ( -8,  46)";" 5 (-2, 12)";"11 ( -4, 26)";"14 ( -6, 34)";"29 (-12,  70)";"14 ( -6, 34)";"38 (-16,  92)";"14 ( -6, 34)";" 76 ( -32, 184)";"22 ( -9,  53)";" 9 ( -4, 22)";"12 ( -5, 29)";"272 (131, 413)"
"2015-03-16";"125";" 8427 ( -3397, 20251)";" 9 ( -4, 22)";"19 ( -8,  46)";" 5 (-2, 12)";"11 ( -4, 26)";"14 ( -6, 34)";"28 (-12,  68)";"14 ( -6, 34)";"38 (-15,  91)";"14 ( -6, 34)";" 75 ( -30, 180)";"21 ( -9,  51)";" 9 ( -4, 22)";"12 ( -5, 29)";"269 (131, 407)"
"2015-03-15";"124";" 8277 ( -3266, 19820)";" 9 ( -4, 22)";"19 ( -7,  45)";" 5 (-1, 11)";"10 ( -4, 24)";"14 ( -5, 33)";"28 (-11,  67)";"14 ( -5, 33)";"37 (-14,  88)";"14 ( -5, 33)";" 74 ( -29, 177)";"21 ( -8,  50)";" 9 ( -4, 22)";"12 ( -4, 28)";"266 (131, 401)"
"2015-03-14";"123";" 8130 ( -3138, 19398)";" 9 ( -3, 21)";"18 ( -7,  43)";" 4 (-2, 10)";"10 ( -4, 24)";"13 ( -6, 32)";"27 (-11,  65)";"13 ( -6, 32)";"36 (-14,  86)";"13 ( -6, 32)";" 72 ( -28, 172)";"21 ( -8,  50)";" 9 ( -3, 21)";"11 ( -5, 27)";"256 (124, 388)"
"2015-03-13";"122";" 7985 ( -3014, 18984)";" 9 ( -3, 21)";"18 ( -7,  43)";" 4 (-2, 10)";"10 ( -4, 24)";"13 ( -5, 31)";"27 (-10,  64)";"13 ( -5, 31)";"36 (-13,  85)";"13 ( -5, 31)";" 71 ( -27, 169)";"20 ( -8,  48)";" 9 ( -3, 21)";"11 ( -4, 26)";"254 (126, 382)"
"2015-03-12";"121";" 7843 ( -2893, 18579)";" 9 ( -3, 21)";"18 ( -6,  42)";" 4 (-2, 10)";"10 ( -3, 23)";"13 ( -5, 31)";"26 (-10,  62)";"13 ( -5, 31)";"35 (-13,  83)";"13 ( -5, 31)";" 70 ( -26, 166)";"20 ( -7,  47)";" 9 ( -3, 21)";"11 ( -4, 26)";"251 (126, 376)"
"2015-03-11";"120";" 7704 ( -2775, 18183)";" 8 ( -4, 20)";"17 ( -7,  41)";" 4 (-2, 10)";"10 ( -3, 23)";"13 ( -4, 30)";"26 ( -9,  61)";"13 ( -4, 30)";"34 (-13,  81)";"13 ( -4, 30)";" 69 ( -24, 162)";"20 ( -7,  47)";" 8 ( -4, 20)";"11 ( -4, 26)";"246 (124, 368)"
"2015-03-10";"119";" 7567 ( -2660, 17794)";" 8 ( -3, 19)";"17 ( -6,  40)";" 4 (-2, 10)";" 9 ( -4, 22)";"12 ( -5, 29)";"25 ( -9,  59)";"12 ( -5, 29)";"34 (-12,  80)";"12 ( -5, 29)";" 67 ( -24, 158)";"19 ( -7,  45)";" 8 ( -3, 19)";"11 ( -3, 25)";"238 (119, 357)"
"2015-03-09";"118";" 7433 ( -2549, 17415)";" 8 ( -3, 19)";"17 ( -5,  39)";" 4 (-1,  9)";" 9 ( -3, 21)";"12 ( -4, 28)";"25 ( -8,  58)";"12 ( -4, 28)";"33 (-11,  77)";"12 ( -4, 28)";" 66 ( -23, 155)";"19 ( -6,  44)";" 8 ( -3, 19)";"10 ( -4, 24)";"235 (119, 351)"
"2015-03-08";"117";" 7301 ( -2441, 17043)";" 8 ( -3, 19)";"16 ( -6,  38)";" 4 (-1,  9)";" 9 ( -3, 21)";"12 ( -4, 28)";"24 ( -9,  57)";"12 ( -4, 28)";"32 (-11,  75)";"12 ( -4, 28)";" 65 ( -22, 152)";"19 ( -6,  44)";" 8 ( -3, 19)";"10 ( -4, 24)";"231 (117, 345)"
"2015-03-07";"116";" 7172 ( -2335, 16679)";" 8 ( -2, 18)";"16 ( -5,  37)";" 4 (-1,  9)";" 9 ( -3, 21)";"12 ( -4, 28)";"24 ( -8,  56)";"12 ( -4, 28)";"32 (-10,  74)";"12 ( -4, 28)";" 64 ( -21, 149)";"18 ( -6,  42)";" 8 ( -2, 18)";"10 ( -3, 23)";"229 (118, 340)"
"2015-03-06";"115";" 7045 ( -2233, 16323)";" 8 ( -2, 18)";"16 ( -5,  37)";" 4 (-1,  9)";" 9 ( -3, 21)";"12 ( -3, 27)";"24 ( -7,  55)";"12 ( -3, 27)";"31 (-10,  72)";"12 ( -3, 27)";" 63 ( -20, 146)";"18 ( -6,  42)";" 8 ( -2, 18)";"10 ( -3, 23)";"227 (119, 335)"
