"Date";"Days from today";"ETU caseload";"Nurses and paramedics";"Hygienists and nurses aids";"Doctors";"Support staff";"Total"
"2015-02-17";"98";"1860 (-1103,  4823)";" 930 ( -552,  2412)";" 930 ( -552,  2412)";"186 (-110,  482)";"1860 (-1103,  4823)";" 3906 (  265,  7547)"
"2015-02-16";"97";"1827 (-1063,  4717)";" 914 ( -531,  2359)";" 914 ( -531,  2359)";"183 (-106,  472)";"1827 (-1063,  4717)";" 3838 (  286,  7390)"
"2015-02-15";"96";"1796 (-1023,  4615)";" 898 ( -512,  2308)";" 898 ( -512,  2308)";"180 (-102,  462)";"1796 (-1023,  4615)";" 3772 (  308,  7236)"
"2015-02-14";"95";"1764 ( -986,  4514)";" 882 ( -493,  2257)";" 882 ( -493,  2257)";"176 ( -99,  451)";"1764 ( -986,  4514)";" 3704 (  325,  7083)"
"2015-02-13";"94";"1733 ( -949,  4415)";" 866 ( -475,  2207)";" 866 ( -475,  2207)";"173 ( -95,  441)";"1733 ( -949,  4415)";" 3638 (  342,  6934)"
"2015-02-12";"93";"1703 ( -913,  4319)";" 852 ( -456,  2160)";" 852 ( -456,  2160)";"170 ( -92,  432)";"1703 ( -913,  4319)";" 3577 (  363,  6791)"
"2015-02-11";"92";"1674 ( -877,  4225)";" 837 ( -439,  2113)";" 837 ( -439,  2113)";"167 ( -88,  422)";"1674 ( -877,  4225)";" 3515 (  380,  6650)"
"2015-02-10";"91";"1644 ( -844,  4132)";" 822 ( -422,  2066)";" 822 ( -422,  2066)";"164 ( -85,  413)";"1644 ( -844,  4132)";" 3452 (  394,  6510)"
"2015-02-09";"90";"1616 ( -811,  4043)";" 808 ( -405,  2021)";" 808 ( -405,  2021)";"162 ( -81,  405)";"1616 ( -811,  4043)";" 3394 (  412,  6376)"
"2015-02-08";"89";"1588 ( -779,  3955)";" 794 ( -389,  1977)";" 794 ( -389,  1977)";"159 ( -78,  396)";"1588 ( -779,  3955)";" 3335 (  427,  6243)"
"2015-02-07";"88";"1560 ( -748,  3868)";" 780 ( -374,  1934)";" 780 ( -374,  1934)";"156 ( -75,  387)";"1560 ( -748,  3868)";" 3276 (  440,  6112)"
"2015-02-06";"87";"1533 ( -718,  3784)";" 766 ( -359,  1891)";" 766 ( -359,  1891)";"153 ( -72,  378)";"1533 ( -718,  3784)";" 3218 (  452,  5984)"
"2015-02-05";"86";"1507 ( -688,  3702)";" 754 ( -343,  1851)";" 754 ( -343,  1851)";"151 ( -68,  370)";"1507 ( -688,  3702)";" 3166 (  469,  5863)"
"2015-02-04";"85";"1481 ( -659,  3621)";" 740 ( -330,  1810)";" 740 ( -330,  1810)";"148 ( -66,  362)";"1481 ( -659,  3621)";" 3109 (  479,  5739)"
"2015-02-03";"84";"1455 ( -632,  3542)";" 728 ( -315,  1771)";" 728 ( -315,  1771)";"146 ( -63,  355)";"1455 ( -632,  3542)";" 3057 (  493,  5621)"
"2015-02-02";"83";"1430 ( -605,  3465)";" 715 ( -302,  1732)";" 715 ( -302,  1732)";"143 ( -60,  346)";"1430 ( -605,  3465)";" 3003 (  502,  5504)"
"2015-02-01";"82";"1405 ( -579,  3389)";" 702 ( -290,  1694)";" 702 ( -290,  1694)";"140 ( -58,  338)";"1405 ( -579,  3389)";" 2949 (  511,  5387)"
"2015-01-31";"81";"1381 ( -554,  3316)";" 690 ( -277,  1657)";" 690 ( -277,  1657)";"138 ( -55,  331)";"1381 ( -554,  3316)";" 2899 (  522,  5276)"
"2015-01-30";"80";"1357 ( -529,  3243)";" 678 ( -265,  1621)";" 678 ( -265,  1621)";"136 ( -53,  325)";"1357 ( -529,  3243)";" 2849 (  531,  5167)"
"2015-01-29";"79";"1334 ( -505,  3173)";" 667 ( -253,  1587)";" 667 ( -253,  1587)";"133 ( -51,  317)";"1334 ( -505,  3173)";" 2801 (  541,  5061)"
"2015-01-28";"78";"1311 ( -482,  3104)";" 656 ( -241,  1553)";" 656 ( -241,  1553)";"131 ( -48,  310)";"1311 ( -482,  3104)";" 2754 (  550,  4958)"
"2015-01-27";"77";"1288 ( -460,  3036)";" 644 ( -230,  1518)";" 644 ( -230,  1518)";"129 ( -46,  304)";"1288 ( -460,  3036)";" 2705 (  557,  4853)"
"2015-01-26";"76";"1266 ( -439,  2971)";" 633 ( -219,  1485)";" 633 ( -219,  1485)";"127 ( -43,  297)";"1266 ( -439,  2971)";" 2659 (  564,  4754)"
"2015-01-25";"75";"1245 ( -417,  2907)";" 622 ( -209,  1453)";" 622 ( -209,  1453)";"124 ( -42,  290)";"1245 ( -417,  2907)";" 2613 (  571,  4655)"
"2015-01-24";"74";"1223 ( -397,  2843)";" 612 ( -198,  1422)";" 612 ( -198,  1422)";"122 ( -40,  284)";"1223 ( -397,  2843)";" 2569 (  578,  4560)"
"2015-01-23";"73";"1202 ( -377,  2781)";" 601 ( -189,  1391)";" 601 ( -189,  1391)";"120 ( -38,  278)";"1202 ( -377,  2781)";" 2524 (  583,  4465)"
