"Date";"Days from today";"Caseload";"Administrator (coordination)";"Doctor (ETU)";"Doctor (coordination)";"Epidemiologist (contact tracing)";"Epidemiologist (coordination)";"Lab scientist (laboratories)";"Logistician (burials)";"Logistician (ETU)";"Logistician (coordination)";"Nurse (ETU)";"Public health specialist (Social mobilization)";"Public health specialist (coordination)";"Data management (coordination)";"Total personnel"
"2015-03-23";"132";"15089 (7086, 23092)";"17 (8, 26)";"34 (16, 52)";" 8 (4, 12)";"19 ( 9, 29)";"25 (12, 38)";"51 (24,  78)";"25 (12, 38)";"67 (31, 103)";"25 (12, 38)";"134 (63, 205)";"38 (18, 58)";"17 (8, 26)";"21 (10, 32)";"481 (388, 574)"
"2015-03-22";"131";"14950 (7055, 22845)";"16 (7, 25)";"34 (16, 52)";" 8 (4, 12)";"19 ( 9, 29)";"25 (12, 38)";"50 (24,  76)";"25 (12, 38)";"67 (32, 102)";"25 (12, 38)";"133 (63, 203)";"38 (18, 58)";"16 (7, 25)";"21 (10, 32)";"477 (385, 569)"
"2015-03-21";"130";"14812 (7024, 22600)";"16 (7, 25)";"33 (15, 51)";" 8 (4, 12)";"19 ( 9, 29)";"24 (11, 37)";"50 (24,  76)";"24 (11, 37)";"66 (31, 101)";"24 (11, 37)";"132 (63, 201)";"38 (18, 58)";"16 (7, 25)";"21 (10, 32)";"471 (380, 562)"
"2015-03-20";"129";"14674 (6992, 22356)";"16 (8, 24)";"33 (16, 50)";" 8 (4, 12)";"18 ( 8, 28)";"24 (11, 37)";"49 (23,  75)";"24 (11, 37)";"65 (31,  99)";"24 (11, 37)";"131 (63, 199)";"37 (17, 57)";"16 (8, 24)";"21 (10, 32)";"466 (376, 556)"
"2015-03-19";"128";"14538 (6961, 22115)";"16 (8, 24)";"33 (16, 50)";" 8 (4, 12)";"18 ( 9, 27)";"24 (11, 37)";"49 (24,  74)";"24 (11, 37)";"65 (31,  99)";"24 (11, 37)";"129 (62, 196)";"37 (18, 56)";"16 (8, 24)";"20 ( 9, 31)";"463 (375, 551)"
"2015-03-18";"127";"14403 (6930, 21876)";"16 (8, 24)";"32 (15, 49)";" 8 (4, 12)";"18 ( 9, 27)";"24 (12, 36)";"48 (23,  73)";"24 (12, 36)";"64 (31,  97)";"24 (12, 36)";"128 (61, 195)";"37 (18, 56)";"16 (8, 24)";"20 (10, 30)";"459 (372, 546)"
"2015-03-17";"126";"14269 (6899, 21639)";"16 (8, 24)";"32 (15, 49)";" 8 (4, 12)";"18 ( 9, 27)";"24 (12, 36)";"48 (23,  73)";"24 (12, 36)";"63 (30,  96)";"24 (12, 36)";"127 (61, 193)";"36 (17, 55)";"16 (8, 24)";"20 (10, 30)";"456 (370, 542)"
"2015-03-16";"125";"14136 (6868, 21404)";"16 (8, 24)";"32 (16, 48)";" 8 (4, 12)";"18 ( 9, 27)";"23 (11, 35)";"47 (23,  71)";"23 (11, 35)";"63 (31,  95)";"23 (11, 35)";"126 (61, 191)";"36 (17, 55)";"16 (8, 24)";"20 (10, 30)";"451 (366, 536)"
"2015-03-15";"124";"14003 (6837, 21169)";"15 (7, 23)";"32 (16, 48)";" 8 (4, 12)";"18 ( 9, 27)";"23 (11, 35)";"47 (23,  71)";"23 (11, 35)";"62 (30,  94)";"23 (11, 35)";"125 (61, 189)";"36 (18, 54)";"15 (7, 23)";"20 (10, 30)";"447 (363, 531)"
"2015-03-14";"123";"13872 (6806, 20938)";"15 (7, 23)";"31 (15, 47)";" 8 (4, 12)";"17 ( 8, 26)";"23 (11, 35)";"46 (22,  70)";"23 (11, 35)";"62 (31,  93)";"23 (11, 35)";"123 (60, 186)";"35 (17, 53)";"15 (7, 23)";"19 ( 9, 29)";"440 (358, 522)"
"2015-03-13";"122";"13742 (6775, 20709)";"15 (7, 23)";"31 (15, 47)";" 8 (4, 12)";"17 ( 8, 26)";"23 (12, 34)";"46 (23,  69)";"23 (12, 34)";"61 (30,  92)";"23 (12, 34)";"122 (60, 184)";"35 (17, 53)";"15 (7, 23)";"19 ( 9, 29)";"438 (357, 519)"
"2015-03-12";"121";"13613 (6745, 20481)";"15 (7, 23)";"31 (16, 46)";" 7 (3, 11)";"17 ( 8, 26)";"22 (11, 33)";"46 (23,  69)";"22 (11, 33)";"61 (30,  92)";"22 (11, 33)";"121 (60, 182)";"35 (17, 53)";"15 (7, 23)";"19 ( 9, 29)";"433 (353, 513)"
"2015-03-11";"120";"13485 (6714, 20256)";"15 (8, 22)";"30 (15, 45)";" 7 (3, 11)";"17 ( 9, 25)";"22 (11, 33)";"45 (22,  68)";"22 (11, 33)";"60 (30,  90)";"22 (11, 33)";"120 (60, 180)";"34 (17, 51)";"15 (8, 22)";"19 (10, 28)";"428 (349, 507)"
"2015-03-10";"119";"13358 (6684, 20032)";"15 (8, 22)";"30 (15, 45)";" 7 (3, 11)";"17 ( 9, 25)";"22 (11, 33)";"45 (23,  67)";"22 (11, 33)";"59 (29,  89)";"22 (11, 33)";"119 (60, 178)";"34 (17, 51)";"15 (8, 22)";"19 (10, 28)";"426 (348, 504)"
"2015-03-09";"118";"13231 (6652, 19810)";"15 (8, 22)";"30 (15, 45)";" 7 (3, 11)";"17 ( 9, 25)";"22 (11, 33)";"44 (22,  66)";"22 (11, 33)";"59 (30,  88)";"22 (11, 33)";"118 (59, 177)";"34 (17, 51)";"15 (8, 22)";"19 (10, 28)";"424 (347, 501)"
"2015-03-08";"117";"13106 (6622, 19590)";"14 (7, 21)";"29 (14, 44)";" 7 (3, 11)";"16 ( 8, 24)";"22 (11, 33)";"44 (22,  66)";"22 (11, 33)";"58 (29,  87)";"22 (11, 33)";"117 (59, 175)";"33 (16, 50)";"14 (7, 21)";"18 ( 9, 27)";"416 (340, 492)"
"2015-03-07";"116";"12982 (6592, 19372)";"14 (7, 21)";"29 (15, 43)";" 7 (3, 11)";"16 ( 8, 24)";"21 (10, 32)";"43 (22,  64)";"21 (10, 32)";"58 (30,  86)";"21 (10, 32)";"116 (59, 173)";"33 (17, 49)";"14 (7, 21)";"18 ( 9, 27)";"411 (336, 486)"
"2015-03-06";"115";"12859 (6561, 19157)";"14 (7, 21)";"29 (15, 43)";" 7 (4, 10)";"16 ( 8, 24)";"21 (11, 31)";"43 (22,  64)";"21 (11, 31)";"57 (29,  85)";"21 (11, 31)";"114 (58, 170)";"33 (17, 49)";"14 (7, 21)";"18 ( 9, 27)";"408 (334, 482)"
"2015-03-05";"114";"12737 (6531, 18943)";"14 (7, 21)";"29 (15, 43)";" 7 (4, 10)";"16 ( 8, 24)";"21 (11, 31)";"43 (22,  64)";"21 (11, 31)";"57 (29,  85)";"21 (11, 31)";"113 (58, 168)";"32 (16, 48)";"14 (7, 21)";"18 ( 9, 27)";"406 (334, 478)"
