"Date";"Days from today";"Cases (reported/treated)";"New cases/day (reported/treated)";"Cases (total)";"New cases/day (total)";"Incubation period";"Infectious and unreported";"Undergoing treatment"
"2014-10-25";"4";"4054 (3403,  4706)";"74";"15167 (11970, 18364)";"272";"3118 (1241,  4995)";"2017 ( 955, 3078)";" 548 (303,  794)"
"2014-10-24";"3";"3981 (3366,  4595)";"73";"14895 (11857, 17933)";"268";"3073 (1254,  4893)";"1988 ( 962, 3014)";" 541 (304,  777)"
"2014-10-23";"2";"3908 (3329,  4487)";"72";"14628 (11743, 17512)";"264";"3029 (1266,  4793)";"1960 ( 969, 2951)";" 533 (305,  761)"
"2014-10-22";"1";"3836 (3291,  4381)";"71";"14364 (11627, 17100)";"260";"2986 (1278,  4694)";"1933 ( 975, 2890)";" 526 (307,  744)"
"2014-10-21";"0";"3766 (3253,  4278)";"70";"14104 (11511, 16696)";"256";"2944 (1289,  4598)";"1905 ( 981, 2829)";" 518 (308,  728)"
"2014-10-20";"-1";"3696 (3215,  4177)";"69";"13847 (11393, 16301)";"253";"2902 (1300,  4503)";"1879 ( 987, 2770)";" 511 (309,  713)"
"2014-10-19";"-2";"3627 (3176,  4078)";"68";"13595 (11274, 15915)";"249";"2861 (1311,  4410)";"1852 ( 993, 2712)";" 504 (310,  698)"
"2014-10-18";"-3";"3559 (3137,  3982)";"67";"13345 (11154, 15537)";"246";"2820 (1321,  4319)";"1826 ( 998, 2654)";" 497 (311,  683)"
"2014-10-17";"-4";"3493 (3098,  3887)";"66";"13100 (11032, 15167)";"242";"2780 (1331,  4229)";"1801 (1003, 2598)";" 490 (312,  668)"
"2014-10-16";"-5";"3427 (3058,  3796)";"65";"12858 (10910, 14805)";"239";"2741 (1340,  4141)";"1776 (1008, 2543)";" 483 (313,  653)"
"2014-10-15";"-6";"3362 (3018,  3706)";"64";"12619 (10786, 14452)";"235";"2702 (1349,  4055)";"1751 (1013, 2489)";" 477 (314,  639)"
"2014-10-14";"-7";"3298 (2977,  3619)";"63";"12383 (10661, 14106)";"232";"2664 (1358,  3970)";"1726 (1017, 2436)";" 470 (315,  625)"
"2014-10-13";"-8";"3235 (2936,  3534)";"62";"12151 (10535, 13768)";"229";"2626 (1366,  3887)";"1702 (1021, 2384)";" 464 (316,  612)"
"2014-10-12";"-9";"3173 (2894,  3451)";"61";"11923 (10408, 13438)";"226";"2590 (1374,  3805)";"1679 (1025, 2333)";" 457 (316,  598)"
"2014-10-11";"-10";"3111 (2852,  3370)";"61";"11697 (10279, 13115)";"222";"2553 (1381,  3725)";"1655 (1028, 2283)";" 451 (317,  585)"
"2014-10-10";"-11";"3051 (2809,  3292)";"60";"11475 (10149, 12801)";"219";"2517 (1389,  3646)";"1633 (1032, 2233)";" 445 (318,  572)"
"2014-10-09";"-12";"2991 (2766,  3216)";"59";"11255 (10017, 12493)";"216";"2482 (1395,  3569)";"1610 (1035, 2185)";" 439 (318,  560)"
"2014-10-08";"-13";"2932 (2721,  3143)";"58";"11039 ( 9885, 12194)";"213";"2448 (1402,  3493)";"1588 (1038, 2138)";" 433 (318,  547)"
"2014-10-07";"-14";"2874 (2677,  3072)";"57";"10826 ( 9750, 11902)";"210";"2413 (1408,  3419)";"1566 (1041, 2091)";" 427 (319,  535)"
"2014-10-06";"-15";"2817 (2631,  3003)";"56";"10616 ( 9614, 11617)";"207";"2380 (1414,  3346)";"1545 (1043, 2046)";" 421 (319,  523)"
"2014-10-05";"-16";"2760 (2584,  2936)";"56";"10408 ( 9476, 11340)";"204";"2347 (1419,  3274)";"1523 (1046, 2001)";" 415 (319,  512)"
"2014-10-04";"-17";"2705 (2537,  2872)";"55";"10204 ( 9337, 11071)";"202";"2314 (1425,  3204)";"1503 (1048, 1957)";" 410 (319,  500)"
"2014-10-03";"-18";"2650 (2489,  2811)";"54";"10002 ( 9195, 10810)";"199";"2282 (1430,  3135)";"1482 (1050, 1914)";" 404 (319,  489)"
"2014-10-02";"-19";"2595 (2440,  2751)";"53";" 9804 ( 9051, 10556)";"196";"2251 (1434,  3067)";"1462 (1052, 1872)";" 399 (319,  478)"
"2014-10-01";"-20";"2542 (2390,  2694)";"53";" 9608 ( 8905, 10310)";"193";"2220 (1438,  3001)";"1442 (1053, 1831)";" 393 (319,  467)"
"2014-09-30";"-21";"2489 (2340,  2639)";"52";" 9414 ( 8756, 10073)";"191";"2189 (1442,  2936)";"1423 (1055, 1790)";" 388 (319,  457)"
"2014-09-29";"-22";"2437 (2289,  2585)";"51";" 9223 ( 8604,  9843)";"188";"2159 (1446,  2872)";"1403 (1056, 1751)";" 383 (319,  447)"
"2014-09-28";"-23";"2386 (2238,  2533)";"51";" 9035 ( 8449,  9621)";"186";"2130 (1450,  2809)";"1384 (1057, 1712)";" 378 (318,  437)"
"2014-09-27";"-24";"2335 (2187,  2483)";"50";" 8850 ( 8292,  9408)";"183";"2100 (1453,  2748)";"1366 (1058, 1674)";" 373 (318,  427)"
"2014-09-26";"-25";"2285 (2136,  2434)";"49";" 8667 ( 8132,  9202)";"180";"2072 (1456,  2688)";"1347 (1058, 1637)";" 367 (317,  418)"
"2014-09-25";"-26";"2236 (2086,  2386)";"49";" 8486 ( 7968,  9004)";"178";"2043 (1458,  2629)";"1329 (1059, 1600)";" 362 (316,  409)"
"2014-09-24";"-27";"2187 (2035,  2339)";"48";" 8308 ( 7803,  8814)";"176";"2016 (1461,  2571)";"1312 (1059, 1564)";" 358 (315,  400)"
"2014-09-23";"-28";"2139 (1985,  2293)";"47";" 8133 ( 7635,  8630)";"173";"1988 (1463,  2514)";"1294 (1058, 1530)";" 353 (314,  391)"
"2014-09-22";"-29";"2092 (1936,  2248)";"47";" 7959 ( 7466,  8453)";"171";"1961 (1465,  2458)";"1277 (1058, 1496)";" 348 (313,  383)"
"2014-09-21";"-30";"2045 (1887,  2204)";"46";" 7789 ( 7296,  8281)";"169";"1935 (1466,  2404)";"1260 (1057, 1462)";" 343 (311,  375)"
"2014-09-20";"-31";"1999 (1839,  2159)";"45";" 7620 ( 7125,  8115)";"166";"1909 (1467,  2351)";"1243 (1056, 1430)";" 338 (309,  368)"
"2014-09-19";"-32";"1954 (1792,  2116)";"45";" 7454 ( 6955,  7953)";"164";"1883 (1468,  2298)";"1227 (1055, 1399)";" 334 (306,  361)"
"2014-09-18";"-33";"1909 (1745,  2073)";"44";" 7290 ( 6785,  7795)";"162";"1858 (1469,  2247)";"1210 (1053, 1368)";" 329 (303,  355)"
"2014-09-17";"-34";"1865 (1700,  2030)";"44";" 7128 ( 6616,  7640)";"160";"1833 (1469,  2197)";"1194 (1050, 1339)";" 324 (300,  349)"
"2014-09-16";"-35";"1821 (1655,  1987)";"43";" 6968 ( 6448,  7488)";"158";"1809 (1469,  2148)";"1179 (1047, 1310)";" 320 (296,  344)"
"2014-09-15";"-36";"1778 (1611,  1945)";"43";" 6810 ( 6283,  7338)";"156";"1785 (1469,  2100)";"1163 (1044, 1283)";" 315 (291,  339)"
"2014-09-14";"-37";"1735 (1568,  1903)";"42";" 6655 ( 6119,  7191)";"153";"1761 (1468,  2054)";"1148 (1039, 1257)";" 311 (286,  335)"
"2014-09-13";"-38";"1693 (1526,  1861)";"41";" 6501 ( 5958,  7045)";"151";"1738 (1467,  2008)";"1133 (1033, 1233)";" 306 (281,  331)"
"2014-09-12";"-39";"1652 (1485,  1819)";"41";" 6350 ( 5799,  6901)";"149";"1715 (1466,  1964)";"1118 (1026, 1210)";" 302 (275,  328)"
"2014-09-11";"-40";"1611 (1444,  1778)";"40";" 6201 ( 5643,  6758)";"147";"1692 (1464,  1921)";"1104 (1017, 1190)";" 297 (269,  325)"
"2014-09-10";"-41";"1571 (1405,  1737)";"40";" 6053 ( 5490,  6616)";"146";"1670 (1461,  1880)";"1089 (1006, 1172)";" 292 (263,  322)"
"2014-09-09";"-42";"1531 (1366,  1695)";"39";" 5908 ( 5340,  6475)";"144";"1648 (1458,  1839)";"1075 ( 994, 1156)";" 288 (257,  319)"
"2014-09-08";"-43";"1491 (1329,  1654)";"39";" 5764 ( 5193,  6335)";"142";"1627 (1453,  1801)";"1061 ( 979, 1142)";" 283 (251,  315)"
"2014-09-07";"-44";"1453 (1292,  1614)";"38";" 5622 ( 5048,  6196)";"140";"1606 (1448,  1764)";"1047 ( 963, 1131)";" 278 (244,  312)"
"2014-09-06";"-45";"1414 (1256,  1573)";"38";" 5482 ( 4907,  6057)";"138";"1586 (1441,  1730)";"1033 ( 945, 1121)";" 273 (238,  309)"
"2014-09-05";"-46";"1377 (1221,  1532)";"37";" 5344 ( 4769,  5919)";"136";"1566 (1433,  1698)";"1019 ( 927, 1112)";" 269 (232,  305)"
"2014-09-04";"-47";"1339 (1187,  1492)";"37";" 5207 ( 4633,  5781)";"135";"1546 (1423,  1669)";"1006 ( 907, 1105)";" 264 (226,  302)"
"2014-09-03";"-48";"1303 (1153,  1452)";"36";" 5073 ( 4501,  5644)";"133";"1527 (1410,  1644)";" 992 ( 887, 1098)";" 259 (219,  298)"
"2014-09-02";"-49";"1266 (1121,  1412)";"36";" 4939 ( 4372,  5507)";"132";"1508 (1394,  1622)";" 979 ( 866, 1091)";" 253 (213,  293)"
"2014-09-01";"-50";"1230 (1089,  1372)";"35";" 4808 ( 4245,  5371)";"130";"1490 (1376,  1605)";" 965 ( 845, 1085)";" 248 (207,  289)"
"2014-08-31";"-51";"1195 (1058,  1332)";"35";" 4678 ( 4122,  5234)";"128";"1473 (1354,  1591)";" 952 ( 825, 1079)";" 242 (201,  284)"
"2014-08-30";"-52";"1160 (1028,  1293)";"34";" 4550 ( 4001,  5098)";"127";"1456 (1331,  1581)";" 938 ( 804, 1072)";" 237 (195,  278)"
"2014-08-29";"-53";"1126 ( 999,  1253)";"34";" 4423 ( 3883,  4962)";"126";"1440 (1306,  1574)";" 924 ( 783, 1064)";" 231 (189,  272)"
"2014-08-28";"-54";"1092 ( 970,  1214)";"33";" 4297 ( 3768,  4825)";"124";"1425 (1280,  1570)";" 909 ( 763, 1056)";" 225 (183,  266)"
"2014-08-27";"-55";"1059 ( 942,  1176)";"33";" 4173 ( 3656,  4689)";"123";"1411 (1253,  1569)";" 894 ( 742, 1047)";" 218 (177,  259)"
"2014-08-26";"-56";"1027 ( 915,  1138)";"32";" 4049 ( 3547,  4552)";"122";"1398 (1225,  1570)";" 879 ( 722, 1036)";" 212 (171,  252)"
"2014-08-25";"-57";" 994 ( 889,  1100)";"31";" 3927 ( 3440,  4415)";"121";"1386 (1198,  1575)";" 863 ( 701, 1024)";" 205 (166,  244)"
"2014-08-24";"-58";" 963 ( 864,  1062)";"31";" 3806 ( 3336,  4277)";"120";"1377 (1171,  1582)";" 845 ( 681, 1009)";" 198 (160,  236)"
"2014-08-23";"-59";" 932 ( 839,  1025)";"30";" 3686 ( 3234,  4138)";"120";"1369 (1145,  1593)";" 826 ( 661,  991)";" 191 (154,  227)"
"2014-08-22";"-60";" 902 ( 815,   989)";"29";" 3566 ( 3134,  3998)";"120";"1364 (1119,  1609)";" 805 ( 641,  970)";" 183 (149,  218)"
"2014-08-21";"-61";" 873 ( 792,   954)";"28";" 3446 ( 3037,  3856)";"120";"1362 (1095,  1629)";" 782 ( 620,  944)";" 176 (143,  209)"
"2014-08-20";"-62";" 845 ( 769,   920)";"27";" 3327 ( 2941,  3712)";"120";"1363 (1072,  1655)";" 756 ( 599,  913)";" 169 (138,  200)"
"2014-08-19";"-63";" 817 ( 748,   887)";"26";" 3207 ( 2848,  3566)";"118";"1370 (1051,  1688)";" 726 ( 577,  875)";" 161 (133,  190)"
"2014-08-18";"-64";" 791 ( 727,   856)";"25";" 3090 ( 2757,  3422)";"112";"1311 (1012,  1609)";" 694 ( 555,  834)";" 154 (128,  181)"
"2014-08-17";"-65";" 766 ( 707,   826)";"24";" 2977 ( 2670,  3284)";"108";"1254 ( 974,  1534)";" 664 ( 534,  795)";" 148 (123,  173)"
"2014-08-16";"-66";" 742 ( 687,   797)";"23";" 2869 ( 2585,  3153)";"103";"1200 ( 937,  1462)";" 636 ( 514,  758)";" 141 (118,  165)"
"2014-08-15";"-67";" 719 ( 669,   770)";"22";" 2766 ( 2504,  3029)";"99";"1148 ( 902,  1394)";" 608 ( 494,  722)";" 135 (114,  157)"
"2014-08-14";"-68";" 697 ( 651,   744)";"21";" 2668 ( 2426,  2910)";"94";"1098 ( 868,  1329)";" 582 ( 476,  688)";" 129 (109,  150)"
"2014-08-13";"-69";" 677 ( 633,   720)";"20";" 2574 ( 2351,  2796)";"90";"1051 ( 835,  1267)";" 557 ( 457,  656)";" 124 (105,  143)"
"2014-08-12";"-70";" 656 ( 617,   696)";"19";" 2484 ( 2279,  2688)";"86";"1005 ( 804,  1207)";" 533 ( 440,  625)";" 118 (101,  136)"
"2014-08-11";"-71";" 637 ( 601,   674)";"18";" 2397 ( 2209,  2585)";"83";" 962 ( 773,  1151)";" 510 ( 423,  596)";" 113 ( 97,  130)"
"2014-08-10";"-72";" 619 ( 585,   652)";"18";" 2315 ( 2142,  2487)";"79";" 920 ( 744,  1097)";" 488 ( 407,  568)";" 108 ( 93,  124)"
"2014-08-09";"-73";" 601 ( 571,   632)";"17";" 2236 ( 2078,  2394)";"76";" 881 ( 716,  1046)";" 467 ( 391,  542)";" 104 ( 90,  118)"
"2014-08-08";"-74";" 585 ( 556,   613)";"16";" 2160 ( 2015,  2305)";"72";" 843 ( 688,   997)";" 446 ( 377,  516)";"  99 ( 86,  112)"
"2014-08-07";"-75";" 568 ( 543,   594)";"15";" 2088 ( 1955,  2220)";"69";" 806 ( 662,   950)";" 427 ( 362,  492)";"  95 ( 83,  107)"
"2014-08-06";"-76";" 553 ( 530,   577)";"15";" 2019 ( 1898,  2140)";"66";" 771 ( 637,   906)";" 409 ( 348,  469)";"  91 ( 80,  102)"
"2014-08-05";"-77";" 538 ( 517,   560)";"14";" 1953 ( 1842,  2063)";"63";" 738 ( 613,   863)";" 391 ( 335,  447)";"  87 ( 77,   97)"
"2014-08-04";"-78";" 524 ( 505,   544)";"13";" 1889 ( 1789,  1990)";"61";" 706 ( 589,   823)";" 374 ( 322,  426)";"  83 ( 74,   93)"
"2014-08-03";"-79";" 511 ( 493,   529)";"13";" 1829 ( 1737,  1920)";"58";" 675 ( 567,   784)";" 358 ( 310,  406)";"  80 ( 71,   88)"
"2014-08-02";"-80";" 498 ( 482,   514)";"12";" 1771 ( 1687,  1854)";"55";" 646 ( 545,   747)";" 342 ( 298,  387)";"  76 ( 68,   84)"
"2014-08-01";"-81";" 486 ( 471,   500)";"12";" 1715 ( 1639,  1792)";"53";" 618 ( 524,   712)";" 328 ( 286,  369)";"  73 ( 66,   80)"
"2014-07-31";"-82";" 474 ( 460,   487)";"11";" 1662 ( 1592,  1732)";"51";" 592 ( 504,   679)";" 313 ( 275,  352)";"  70 ( 63,   77)"
"2014-07-30";"-83";" 463 ( 450,   475)";"11";" 1611 ( 1548,  1675)";"49";" 566 ( 485,   647)";" 300 ( 264,  335)";"  67 ( 61,   73)"
"2014-07-29";"-84";" 452 ( 441,   463)";"10";" 1563 ( 1504,  1622)";"46";" 541 ( 466,   617)";" 287 ( 254,  320)";"  64 ( 58,   70)"
"2014-07-28";"-85";" 441 ( 431,   451)";"10";" 1516 ( 1462,  1571)";"44";" 518 ( 448,   588)";" 274 ( 244,  305)";"  61 ( 56,   66)"
"2014-07-27";"-86";" 431 ( 422,   441)";"9";" 1472 ( 1422,  1522)";"43";" 496 ( 431,   561)";" 263 ( 235,  290)";"  59 ( 54,   63)"
"2014-07-26";"-87";" 422 ( 414,   430)";"9";" 1429 ( 1382,  1476)";"41";" 474 ( 414,   534)";" 251 ( 226,  277)";"  56 ( 52,   60)"
"2014-07-25";"-88";" 413 ( 405,   421)";"9";" 1389 ( 1344,  1433)";"39";" 454 ( 398,   509)";" 240 ( 217,  264)";"  54 ( 50,   58)"
"2014-07-24";"-89";" 404 ( 397,   411)";"8";" 1350 ( 1308,  1392)";"37";" 434 ( 383,   485)";" 230 ( 208,  252)";"  51 ( 48,   55)"
"2014-07-23";"-90";" 396 ( 390,   402)";NA;" 1313 ( 1272,  1353)";NA;" 415 ( 368,   463)";" 220 ( 200,  240)";"  49 ( 46,   52)"
