"Date";"Days from today";"Cases (reported/treated)";"New cases/day (reported/treated)";"Cases (total)";"New cases/day (total)";"Incubation period";"Infectious and unreported";"Undergoing treatment"
"2014-08-02";"-80";" 422 ( 403,  440)";"21";" 1970 ( 1864,  2077)";"102";"1201 (1101, 1301)";" 595 ( 548,  641)";"124 (114, 133)"
"2014-08-01";"-81";" 400 ( 384,  417)";"20";" 1868 ( 1770,  1966)";"97";"1136 (1042, 1229)";" 563 ( 519,  606)";"117 (108, 126)"
"2014-07-31";"-82";" 380 ( 365,  395)";"19";" 1771 ( 1681,  1861)";"92";"1074 ( 987, 1162)";" 532 ( 491,  573)";"111 (103, 119)"
"2014-07-30";"-83";" 361 ( 348,  375)";"18";" 1679 ( 1596,  1762)";"87";"1016 ( 934, 1098)";" 503 ( 465,  542)";"105 ( 97, 112)"
"2014-07-29";"-84";" 343 ( 331,  355)";"17";" 1593 ( 1517,  1669)";"82";" 961 ( 884, 1038)";" 476 ( 440,  512)";" 99 ( 92, 106)"
"2014-07-28";"-85";" 326 ( 315,  337)";"16";" 1511 ( 1441,  1580)";"78";" 909 ( 837,  981)";" 450 ( 416,  484)";" 94 ( 87, 100)"
"2014-07-27";"-86";" 310 ( 300,  320)";"15";" 1433 ( 1370,  1496)";"73";" 860 ( 793,  927)";" 426 ( 394,  457)";" 89 ( 82,  95)"
"2014-07-26";"-87";" 295 ( 286,  303)";"14";" 1360 ( 1302,  1417)";"69";" 813 ( 750,  876)";" 403 ( 373,  432)";" 84 ( 78,  90)"
"2014-07-25";"-88";" 280 ( 273,  288)";"14";" 1290 ( 1238,  1343)";"66";" 769 ( 710,  828)";" 381 ( 353,  409)";" 79 ( 74,  85)"
"2014-07-24";"-89";" 267 ( 260,  273)";"13";" 1225 ( 1177,  1272)";"62";" 727 ( 672,  783)";" 360 ( 334,  387)";" 75 ( 70,  80)"
"2014-07-23";"-90";" 254 ( 248,  259)";"12";" 1163 ( 1120,  1205)";"59";" 688 ( 636,  740)";" 341 ( 316,  365)";" 71 ( 66,  76)"
"2014-07-22";"-91";" 242 ( 237,  246)";"12";" 1104 ( 1066,  1142)";"56";" 651 ( 602,  699)";" 322 ( 299,  345)";" 67 ( 62,  72)"
"2014-07-21";"-92";" 230 ( 226,  234)";"11";" 1048 ( 1014,  1083)";"52";" 615 ( 570,  661)";" 305 ( 283,  327)";" 63 ( 59,  68)"
"2014-07-20";"-93";" 219 ( 216,  223)";"10";"  996 (  966,  1026)";"50";" 582 ( 539,  625)";" 288 ( 268,  309)";" 60 ( 56,  64)"
"2014-07-19";"-94";" 209 ( 206,  212)";"10";"  946 (  920,   973)";"47";" 550 ( 510,  591)";" 273 ( 253,  292)";" 57 ( 53,  61)"
"2014-07-18";"-95";" 199 ( 196,  202)";"9";"  899 (  876,   923)";"44";" 521 ( 483,  558)";" 258 ( 239,  276)";" 54 ( 50,  57)"
"2014-07-17";"-96";" 190 ( 187,  192)";"9";"  855 (  835,   875)";"42";" 492 ( 457,  528)";" 244 ( 226,  261)";" 51 ( 47,  54)"
"2014-07-16";"-97";" 181 ( 179,  183)";"8";"  813 (  796,   830)";"40";" 466 ( 432,  499)";" 231 ( 214,  247)";" 48 ( 45,  51)"
"2014-07-15";"-98";" 173 ( 170,  175)";"8";"  773 (  759,   788)";"38";" 440 ( 409,  472)";" 218 ( 203,  234)";" 46 ( 42,  49)"
"2014-07-14";"-99";" 165 ( 162,  168)";"7";"  736 (  723,   748)";"36";" 416 ( 387,  446)";" 206 ( 192,  221)";" 43 ( 40,  46)"
"2014-07-13";"-100";" 158 ( 154,  161)";"7";"  700 (  690,   710)";"34";" 394 ( 366,  422)";" 195 ( 181,  209)";" 41 ( 38,  44)"
"2014-07-12";"-101";" 151 ( 147,  154)";NA;"  667 (  658,   675)";NA;" 372 ( 346,  399)";" 184 ( 171,  198)";" 39 ( 36,  41)"
