"Date";"Days from today";"Cases (reported)";"New daily cases (reported)";"Cases (corrected for underreporting)";"New daily cases (corrected for underreporting)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"Beds for CDC 25% ETU target";"Beds for CDC 45% reduced transmission target";"Reporting (treatment) quotient"
"2015-03-26";"133";"236859 ( 34633, 439084)";"3948 ( 704, 7193)";"1209089 (186253, 2231925)";"19218 ( 4811, 33625)";"220087 ( 56197, 383976)";"156786 (28693, 284880)";"31852 ( 3784, 59921)";"47160 (14377, 79943)";" 84887 (25878, 143897)";"40%"
"2015-03-25";"132";"232910 ( 33819, 432002)";"3906 ( 659, 7152)";"1189871 (180637, 2199106)";"19040 ( 4575, 33506)";"218076 ( 53489, 382663)";"155115 (26918, 283311)";"31466 ( 3474, 59458)";"46645 (13841, 79449)";" 83961 (24914, 143009)";"40%"
"2015-03-24";"131";"229004 ( 33054, 424955)";"3863 ( 616, 7110)";"1170831 (175296, 2166366)";"18861 ( 4342, 33380)";"216042 ( 50817, 381267)";"153432 (25185, 281678)";"31079 ( 3175, 58982)";"46128 (13316, 78939)";" 83030 (23969, 142091)";"40%"
"2015-03-23";"130";"225141 ( 32339, 417944)";"3820 ( 574, 7066)";"1151970 (170226, 2133713)";"18680 ( 4113, 33247)";"213987 ( 48186, 379788)";"151738 (23496, 279980)";"30691 ( 2888, 58494)";"45607 (12802, 78413)";" 82093 (23043, 141143)";"40%"
"2015-03-22";"129";"221321 ( 31671, 410971)";"3777 ( 533, 7021)";"1133290 (165422, 2101158)";"18497 ( 3888, 33106)";"211910 ( 45597, 378223)";"150035 (21852, 278218)";"30302 ( 2611, 57993)";"45084 (12299, 77869)";" 81152 (22138, 140165)";"40%"
"2015-03-21";"128";"217544 ( 31050, 404039)";"3733 ( 493, 6974)";"1114793 (160879, 2068708)";"18312 ( 3667, 32957)";"209813 ( 43053, 376573)";"148323 (20253, 276392)";"29912 ( 2345, 57480)";"44559 (11808, 77309)";" 80206 (21254, 139157)";"40%"
"2015-03-20";"127";"213811 ( 30474, 397148)";"3690 ( 454, 6925)";"1096481 (156590, 2036373)";"18125 ( 3450, 32801)";"207696 ( 40557, 374836)";"146602 (18701, 274503)";"29522 ( 2090, 56955)";"44031 (11329, 76733)";" 79256 (20392, 138120)";"40%"
"2015-03-19";"126";"210121 ( 29941, 390301)";"3646 ( 417, 6875)";"1078356 (152551, 2004161)";"17937 ( 3238, 32637)";"205561 ( 38111, 373011)";"144874 (17197, 272550)";"29132 ( 1846, 56418)";"43501 (10862, 76141)";" 78303 (19551, 137054)";"40%"
"2015-03-18";"125";"206475 ( 29451, 383500)";"3602 ( 381, 6823)";"1060418 (148755, 1972082)";"17748 ( 3030, 32465)";"203409 ( 35718, 371100)";"143139 (15742, 270535)";"28742 ( 1614, 55871)";"42970 (10407, 75533)";" 77346 (18733, 135960)";"40%"
"2015-03-17";"124";"202873 ( 29001, 376746)";"3558 ( 346, 6770)";"1042671 (145197, 1940144)";"17557 ( 2828, 32286)";"201239 ( 33379, 369100)";"141398 (14336, 268459)";"28352 ( 1392, 55312)";"42437 ( 9965, 74910)";" 76387 (17937, 134838)";"40%"
