"Date";"Days from today";"Cases (reported)";"New daily cases (reported)";"Cases (corrected for underreporting)";"New daily cases (corrected for underreporting)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"Beds for CDC 25% ETU target";"Beds for CDC 45% reduced transmission target";"Reporting (treatment) quotient"
"2015-03-30";"137";"202879 ( -7664, 413421)";"3446 ( 340, 6553)";"1038325 (-15095, 2091745)";"16586 ( 3171, 30001)";"189789 ( 37479, 342099)";"136749 ( 14294, 259203)";"28029 (  565, 55493)";"41195 ( 9820, 72569)";"74150 (17677, 130624)";"40%"
"2015-03-29";"136";"199433 ( -8134, 406999)";"3414 ( 296, 6532)";"1021739 (-19174, 2062651)";"16460 ( 2939, 29981)";"188370 ( 34820, 341920)";"135477 ( 12537, 258416)";"27720 (  257, 55182)";"40799 ( 9307, 72291)";"73438 (16752, 130125)";"40%"
"2015-03-28";"135";"196019 ( -8554, 400592)";"3381 ( 253, 6509)";"1005278 (-22982, 2033539)";"16332 ( 2710, 29953)";"186919 ( 32194, 341644)";"134187 ( 10820, 257553)";"27407 (  -40, 54855)";"40398 ( 8803, 71994)";"72717 (15845, 129590)";"40%"
"2015-03-27";"134";"192638 ( -8925, 394201)";"3347 ( 211, 6484)";" 988947 (-26523, 2004417)";"16200 ( 2485, 29916)";"185438 ( 29604, 341271)";"132879 (  9144, 256614)";"27092 ( -327, 54512)";"39993 ( 8309, 71677)";"71987 (14956, 129019)";"40%"
"2015-03-26";"133";"189291 ( -9248, 387830)";"3314 ( 170, 6457)";" 972746 (-29802, 1975295)";"16067 ( 2263, 29870)";"183926 ( 27053, 340800)";"131555 (  7510, 255600)";"26775 ( -604, 54154)";"39583 ( 7825, 71340)";"71249 (14085, 128412)";"40%"
"2015-03-25";"132";"185977 ( -9525, 381479)";"3280 ( 130, 6429)";" 956680 (-32823, 1946183)";"15930 ( 2044, 29816)";"182385 ( 24542, 340229)";"130215 (  5920, 254509)";"26456 ( -869, 53781)";"39168 ( 7352, 70983)";"70502 (13233, 127770)";"40%"
"2015-03-24";"131";"182697 ( -9757, 375152)";"3245 (  92, 6398)";" 940750 (-35592, 1917091)";"15791 ( 1830, 29753)";"180816 ( 22075, 339558)";"128859 (  4374, 253344)";"26135 (-1124, 53394)";"38749 ( 6890, 70607)";"69747 (12402, 127093)";"40%"
"2015-03-23";"130";"179452 ( -9945, 368849)";"3210 (  54, 6366)";" 924959 (-38112, 1888029)";"15650 ( 1620, 29680)";"179220 ( 19655, 338785)";"127489 (  2874, 252104)";"25812 (-1367, 52992)";"38325 ( 6439, 70211)";"68986 (11590, 126381)";"40%"
"2015-03-22";"129";"176242 (-10090, 362574)";"3175 (  18, 6332)";" 909308 (-40390, 1859007)";"15507 ( 1414, 29599)";"177597 ( 17283, 337912)";"126105 (  1421, 250789)";"25488 (-1600, 52576)";"37898 ( 6000, 69796)";"68217 (10800, 125634)";"40%"
"2015-03-21";"128";"173067 (-10194, 356328)";"3139 ( -17, 6296)";" 893802 (-42431, 1830035)";"15361 ( 1213, 29509)";"175949 ( 14961, 336936)";"124708 (    15, 249401)";"25163 (-1822, 52147)";"37468 ( 5573, 69363)";"67442 (10031, 124853)";"40%"
