"Date";"Days from today";"Cases (reported)";"New daily cases (reported)";"Cases (corrected for underreporting)";"New daily cases (corrected for underreporting)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"Beds for CDC 25% ETU target";"Beds for CDC 45% reduced transmission target";"Reporting (treatment) quotient"
"2015-03-30";"137";"42811 ( 1648,  83974)";"600 (-252, 1451)";"214070 ( -2748, 430888)";"2984 (-1388,  7357)";"34250 (-16014,  84513)";"23842 (-10080, 57764)";"4784 (-1794, 11363)";" 7157 (-1482, 15795)";"12882 (-2668, 28431)";"40%"
"2015-03-29";"136";"42212 ( 1899,  82525)";"592 (-245, 1428)";"211086 ( -1365, 423537)";"2945 (-1354,  7244)";"33796 (-15626,  83218)";"23522 ( -9812, 56856)";"4719 (-1741, 11180)";" 7060 (-1428, 15549)";"12709 (-2571, 27988)";"40%"
"2015-03-28";"135";"41620 ( 2143,  81098)";"584 (-238, 1405)";"208141 (   -17, 416299)";"2906 (-1320,  7132)";"33348 (-15242,  81938)";"23206 ( -9547, 55959)";"4655 (-1689, 11000)";" 6965 (-1375, 15306)";"12538 (-2475, 27550)";"40%"
"2015-03-27";"134";"41037 ( 2380,  79693)";"576 (-232, 1383)";"205235 (  1298, 409173)";"2867 (-1287,  7022)";"32905 (-14863,  80673)";"22893 ( -9286, 55073)";"4592 (-1638, 10822)";" 6871 (-1323, 15066)";"12368 (-2381, 27118)";"40%"
"2015-03-26";"133";"40461 ( 2610,  78311)";"568 (-225, 1361)";"202368 (  2580, 402157)";"2829 (-1255,  6913)";"32467 (-14490,  79423)";"22585 ( -9029, 54198)";"4529 (-1588, 10647)";" 6779 (-1272, 14829)";"12201 (-2289, 26691)";"40%"
"2015-03-25";"132";"39893 ( 2835,  76951)";"560 (-219, 1340)";"199539 (  3829, 395249)";"2791 (-1223,  6805)";"32033 (-14121,  78188)";"22280 ( -8776, 53335)";"4468 (-1538, 10474)";" 6687 (-1221, 14595)";"12036 (-2198, 26270)";"40%"
"2015-03-24";"131";"39333 ( 3053,  75613)";"553 (-213, 1318)";"196748 (  5046, 388450)";"2754 (-1191,  6699)";"31605 (-13757,  76967)";"21978 ( -8527, 52483)";"4407 (-1490, 10303)";" 6596 (-1171, 14364)";"11873 (-2108, 25854)";"40%"
"2015-03-23";"130";"38780 ( 3264,  74296)";"545 (-207, 1297)";"193994 (  6232, 381757)";"2717 (-1160,  6593)";"31182 (-13398,  75762)";"21680 ( -8281, 51642)";"4346 (-1442, 10135)";" 6507 (-1122, 14136)";"11712 (-2020, 25444)";"40%"
"2015-03-22";"129";"38235 ( 3470,  73000)";"538 (-201, 1276)";"191278 (  7386, 375169)";"2680 (-1129,  6490)";"30764 (-13044,  74571)";"21386 ( -8040, 50812)";"4287 (-1395,  9969)";" 6418 (-1074, 13911)";"11553 (-1933, 25039)";"40%"
"2015-03-21";"128";"37697 ( 3669,  71725)";"530 (-195, 1255)";"188597 (  8510, 368684)";"2644 (-1099,  6387)";"30350 (-12696,  73396)";"21096 ( -7802, 49993)";"4228 (-1349,  9805)";" 6331 (-1027, 13689)";"11396 (-1848, 24640)";"40%"
"2015-03-20";"127";"37167 ( 3863,  70471)";"523 (-189, 1235)";"185953 (  9603, 362303)";"2609 (-1069,  6286)";"29941 (-12352,  72235)";"20809 ( -7568, 49185)";"4170 (-1303,  9644)";" 6245 ( -980, 13470)";"11240 (-1765, 24245)";"40%"
"2015-03-19";"126";"36643 ( 4050,  69237)";"516 (-183, 1215)";"183344 ( 10666, 356022)";"2573 (-1039,  6186)";"29538 (-12014,  71089)";"20525 ( -7338, 48388)";"4113 (-1259,  9484)";" 6159 ( -935, 13254)";"11087 (-1682, 23856)";"40%"
"2015-03-18";"125";"36127 ( 4232,  68023)";"509 (-177, 1195)";"180771 ( 11700, 349841)";"2539 (-1010,  6088)";"29139 (-11680,  69958)";"20245 ( -7112, 47602)";"4056 (-1215,  9328)";" 6075 ( -890, 13040)";"10936 (-1602, 23473)";"40%"
"2015-03-17";"124";"35618 ( 4408,  66828)";"502 (-172, 1176)";"178232 ( 12705, 343759)";"2504 ( -982,  5990)";"28745 (-11352,  68841)";"19969 ( -6890, 46827)";"4001 (-1172,  9173)";" 5992 ( -846, 12830)";"10786 (-1522, 23094)";"40%"
"2015-03-16";"123";"35116 ( 4579,  65654)";"495 (-166, 1157)";"175728 ( 13681, 337774)";"2470 ( -953,  5894)";"28355 (-11028,  67739)";"19696 ( -6671, 46062)";"3945 (-1130,  9021)";" 5910 ( -802, 12623)";"10638 (-1444, 22721)";"40%"
"2015-03-15";"122";"34621 ( 4744,  64498)";"488 (-161, 1138)";"173257 ( 14630, 331885)";"2437 ( -926,  5799)";"27971 (-10710,  66651)";"19426 ( -6457, 45308)";"3891 (-1089,  8871)";" 5829 ( -760, 12418)";"10493 (-1368, 22353)";"40%"
"2015-03-14";"121";"34133 ( 4904,  63362)";"482 (-155, 1119)";"170820 ( 15550, 326091)";"2404 ( -898,  5706)";"27590 (-10397,  65578)";"19160 ( -6245, 44565)";"3837 (-1048,  8723)";" 5749 ( -718, 12217)";"10349 (-1293, 21990)";"40%"
"2015-03-13";"120";"33651 ( 5058,  62244)";"475 (-150, 1101)";"168417 ( 16443, 320390)";"2371 ( -872,  5614)";"27215 (-10088,  64519)";"18897 ( -6038, 43832)";"3784 (-1008,  8577)";" 5670 ( -678, 12018)";"10207 (-1220, 21633)";"40%"
"2015-03-12";"119";"33176 ( 5207,  61144)";"469 (-145, 1082)";"166046 ( 17310, 314781)";"2339 ( -845,  5523)";"26844 ( -9785,  63474)";"18637 ( -5835, 43109)";"3732 ( -969,  8433)";" 5592 ( -637, 11822)";"10066 (-1147, 21280)";"40%"
"2015-03-11";"118";"32707 ( 5352,  60063)";"462 (-140, 1064)";"163707 ( 18150, 309264)";"2307 ( -819,  5433)";"26478 ( -9487,  62443)";"18381 ( -5635, 42397)";"3680 ( -931,  8292)";" 5515 ( -598, 11629)";" 9928 (-1077, 20932)";"40%"
"2015-03-10";"117";"32245 ( 5491,  58999)";"456 (-135, 1047)";"161400 ( 18965, 303836)";"2275 ( -794,  5344)";"26117 ( -9194,  61427)";"18128 ( -5438, 41694)";"3630 ( -893,  8152)";" 5439 ( -560, 11439)";" 9791 (-1007, 20589)";"40%"
"2015-03-09";"116";"31789 ( 5625,  57953)";"450 (-130, 1029)";"159125 ( 19753, 298496)";"2244 ( -769,  5257)";"25759 ( -8906,  60424)";"17878 ( -5246, 41002)";"3579 ( -857,  8015)";" 5364 ( -522, 11251)";" 9656 ( -940, 20251)";"40%"
"2015-03-08";"115";"31340 ( 5754,  56925)";"443 (-126, 1012)";"156881 ( 20517, 293244)";"2213 ( -744,  5171)";"25407 ( -8622,  59436)";"17632 ( -5057, 40320)";"3530 ( -821,  7880)";" 5290 ( -485, 11066)";" 9523 ( -873, 19918)";"40%"
"2015-03-07";"114";"30896 ( 5879,  55914)";"437 (-121,  995)";"154667 ( 21257, 288078)";"2183 ( -720,  5086)";"25059 ( -8344,  58461)";"17389 ( -4871, 39648)";"3481 ( -785,  7747)";" 5217 ( -449, 10884)";" 9391 ( -808, 19590)";"40%"
"2015-03-06";"113";"30459 ( 5999,  54919)";"431 (-116,  979)";"152484 ( 21972, 282997)";"2153 ( -696,  5002)";"24715 ( -8070,  57500)";"17149 ( -4689, 38986)";"3432 ( -751,  7616)";" 5145 ( -413, 10704)";" 9261 ( -744, 19267)";"40%"
"2015-03-05";"112";"30028 ( 6115,  53941)";"425 (-112,  962)";"150331 ( 22663, 278000)";"2123 ( -673,  4920)";"24375 ( -7802,  56552)";"16912 ( -4510, 38333)";"3385 ( -717,  7486)";" 5074 ( -379, 10527)";" 9133 ( -682, 18948)";"40%"
"2015-03-04";"111";"29603 ( 6226,  52980)";"419 (-108,  946)";"148208 ( 23331, 273085)";"2094 ( -650,  4838)";"24040 ( -7538,  55618)";"16678 ( -4335, 37691)";"3338 ( -684,  7359)";" 5004 ( -345, 10352)";" 9007 ( -621, 18634)";"40%"
"2015-03-03";"110";"29184 ( 6332,  52035)";"414 (-103,  930)";"146114 ( 23977, 268251)";"2065 ( -627,  4758)";"23709 ( -7279,  54698)";"16447 ( -4164, 37057)";"3291 ( -651,  7234)";" 4935 ( -312, 10181)";" 8882 ( -561, 18325)";"40%"
"2015-03-02";"109";"28770 ( 6435,  51105)";"408 ( -99,  915)";"144048 ( 24599, 263497)";"2037 ( -605,  4679)";"23383 ( -7025,  53790)";"16219 ( -3996, 36433)";"3246 ( -619,  7111)";" 4866 ( -279, 10011)";" 8759 ( -502, 18020)";"40%"
"2015-03-01";"108";"28362 ( 6533,  50191)";"402 ( -95,  899)";"142011 ( 25200, 258823)";"2009 ( -584,  4601)";"23060 ( -6775,  52896)";"15994 ( -3831, 35819)";"3200 ( -588,  6989)";" 4799 ( -247,  9845)";" 8638 ( -445, 17720)";"40%"
"2015-02-28";"107";"27960 ( 6627,  49293)";"397 ( -91,  884)";"140003 ( 25779, 254226)";"1981 ( -562,  4524)";"22742 ( -6530,  52015)";"15772 ( -3669, 35214)";"3156 ( -558,  6870)";" 4732 ( -216,  9680)";" 8518 ( -389, 17425)";"40%"
"2015-02-27";"106";"27564 ( 6717,  48410)";"391 ( -87,  869)";"138021 ( 26337, 249706)";"1954 ( -541,  4449)";"22428 ( -6290,  51146)";"15553 ( -3511, 34618)";"3112 ( -528,  6752)";" 4666 ( -186,  9519)";" 8399 ( -334, 17133)";"40%"
"2015-02-26";"105";"27173 ( 6803,  47542)";"386 ( -83,  854)";"136068 ( 26874, 245261)";"1927 ( -521,  4374)";"22118 ( -6055,  50290)";"15337 ( -3356, 34031)";"3069 ( -499,  6636)";" 4602 ( -156,  9359)";" 8283 ( -281, 16847)";"40%"
"2015-02-25";"104";"26787 ( 6885,  46689)";"380 ( -79,  840)";"134141 ( 27391, 240891)";"1900 ( -501,  4301)";"21812 ( -5824,  49447)";"15124 ( -3204, 33453)";"3026 ( -470,  6522)";" 4538 ( -127,  9202)";" 8168 ( -229, 16564)";"40%"
"2015-02-24";"103";"26407 ( 6964,  45850)";"375 ( -76,  825)";"132241 ( 27888, 236594)";"1874 ( -481,  4229)";"21510 ( -5597,  48617)";"14914 ( -3055, 32884)";"2984 ( -443,  6410)";" 4474 (  -99,  9048)";" 8054 ( -178, 16286)";"40%"
"2015-02-23";"102";"26032 ( 7038,  45025)";"370 ( -72,  811)";"130367 ( 28365, 232370)";"1848 ( -462,  4157)";"21212 ( -5375,  47799)";"14707 ( -2910, 32323)";"2942 ( -415,  6300)";" 4412 (  -71,  8896)";" 7942 ( -128, 16012)";"40%"
"2015-02-22";"101";"25662 ( 7109,  44214)";"365 ( -68,  797)";"128519 ( 28823, 228216)";"1822 ( -443,  4087)";"20918 ( -5157,  46993)";"14502 ( -2767, 31772)";"2901 ( -389,  6191)";" 4351 (  -44,  8746)";" 7831 (  -80, 15742)";"40%"
"2015-02-21";"100";"25297 ( 7177,  43418)";"360 ( -65,  784)";"126697 ( 29262, 224133)";"1797 ( -424,  4018)";"20628 ( -4944,  46199)";"14300 ( -2628, 31228)";"2861 ( -363,  6084)";" 4290 (  -18,  8598)";" 7722 (  -32, 15477)";"40%"
"2015-02-20";"99";"24938 ( 7241,  42635)";"355 ( -61,  770)";"124900 ( 29682, 220119)";"1772 ( -406,  3950)";"20341 ( -4735,  45418)";"14101 ( -2492, 30694)";"2821 ( -337,  5979)";" 4230 (    8,  8453)";" 7615 (   14, 15216)";"40%"
"2015-02-19";"98";"24583 ( 7302,  41865)";"350 ( -58,  757)";"123128 ( 30085, 216172)";"1747 ( -389,  3883)";"20059 ( -4530,  44648)";"13905 ( -2358, 30167)";"2781 ( -312,  5875)";" 4171 (   33,  8310)";" 7509 (   59, 14958)";"40%"
"2015-02-18";"97";"24234 ( 7359,  41109)";"345 ( -55,  744)";"121381 ( 30469, 212293)";"1723 ( -371,  3817)";"19780 ( -4330,  43890)";"13711 ( -2228, 29649)";"2743 ( -288,  5773)";" 4113 (   57,  8169)";" 7404 (  103, 14705)";"40%"
"2015-02-17";"96";"23889 ( 7413,  40365)";"340 ( -52,  731)";"119658 ( 30837, 208480)";"1699 ( -354,  3752)";"19505 ( -4133,  43143)";"13520 ( -2100, 29139)";"2704 ( -265,  5673)";" 4056 (   81,  8031)";" 7301 (  146, 14455)";"40%"
"2015-02-16";"95";"23549 ( 7464,  39635)";"335 ( -48,  719)";"117959 ( 31187, 204731)";"1675 ( -337,  3688)";"19234 ( -3941,  42408)";"13331 ( -1976, 28638)";"2666 ( -241,  5574)";" 3999 (  104,  7894)";" 7199 (  188, 14210)";"40%"
"2015-02-15";"94";"23214 ( 7512,  38917)";"330 ( -45,  706)";"116284 ( 31521, 201047)";"1652 ( -321,  3625)";"18966 ( -3753,  41685)";"13145 ( -1854, 28144)";"2629 ( -219,  5477)";" 3944 (  127,  7760)";" 7098 (  228, 13968)";"40%"
"2015-02-14";"93";"22884 ( 7556,  38211)";"326 ( -42,  694)";"114632 ( 31838, 197425)";"1629 ( -305,  3563)";"18702 ( -3569,  40972)";"12962 ( -1735, 27658)";"2593 ( -197,  5382)";" 3889 (  149,  7628)";" 6999 (  268, 13731)";"40%"
"2015-02-13";"92";"22558 ( 7598,  37517)";"321 ( -40,  682)";"113003 ( 32140, 193866)";"1606 ( -289,  3502)";"18441 ( -3389,  40271)";"12781 ( -1618, 27179)";"2556 ( -175,  5288)";" 3834 (  170,  7498)";" 6902 (  307, 13497)";"40%"
"2015-02-12";"91";"22236 ( 7637,  36836)";"317 ( -37,  670)";"111396 ( 32426, 190367)";"1584 ( -274,  3442)";"18184 ( -3212,  39581)";"12602 ( -1504, 26709)";"2521 ( -155,  5196)";" 3781 (  191,  7370)";" 6805 (  344, 13266)";"40%"
"2015-02-11";"90";"21920 ( 7673,  36166)";"312 ( -34,  659)";"109812 ( 32696, 186928)";"1562 ( -259,  3383)";"17931 ( -3040,  38901)";"12426 ( -1393, 26246)";"2485 ( -134,  5105)";" 3728 (  211,  7244)";" 6710 (  381, 13040)";"40%"
"2015-02-10";"89";"21607 ( 7706,  35508)";"308 ( -31,  647)";"108250 ( 32952, 183549)";"1540 ( -245,  3325)";"17681 ( -2871,  38232)";"12253 ( -1285, 25790)";"2451 ( -114,  5015)";" 3676 (  231,  7120)";" 6616 (  416, 12817)";"40%"
"2015-02-09";"88";"21299 ( 7737,  34862)";"304 ( -29,  636)";"106710 ( 33193, 180227)";"1519 ( -230,  3267)";"17434 ( -2706,  37574)";"12081 ( -1179, 25342)";"2416 (  -95,  4928)";" 3624 (  250,  6998)";" 6524 (  451, 12597)";"40%"
"2015-02-08";"87";"20995 ( 7764,  34226)";"299 ( -26,  625)";"105192 ( 33420, 176963)";"1497 ( -216,  3211)";"17191 ( -2545,  36926)";"11913 ( -1076, 24901)";"2383 (  -76,  4841)";" 3574 (  269,  6879)";" 6433 (  484, 12381)";"40%"
"2015-02-07";"86";"20696 ( 7790,  33602)";"295 ( -23,  614)";"103694 ( 33633, 173755)";"1476 ( -203,  3156)";"16951 ( -2388,  36289)";"11746 (  -975, 24467)";"2349 (  -57,  4756)";" 3524 (  287,  6761)";" 6343 (  517, 12169)";"40%"
"2015-02-06";"85";"20401 ( 7812,  32989)";"291 ( -21,  603)";"102218 ( 33833, 170603)";"1456 ( -189,  3101)";"16714 ( -2234,  35661)";"11582 (  -876, 24040)";"2317 (  -39,  4672)";" 3475 (  305,  6644)";" 6254 (  549, 11960)";"40%"
"2015-02-05";"84";"20109 ( 7833,  32386)";"287 ( -19,  593)";"100762 ( 34019, 167505)";"1436 ( -176,  3047)";"16480 ( -2083,  35044)";"11420 (  -780, 23621)";"2284 (  -22,  4590)";" 3426 (  322,  6530)";" 6167 (  579, 11754)";"40%"
"2015-02-04";"83";"19822 ( 7851,  31794)";"283 ( -16,  582)";" 99327 ( 34192, 164461)";"1415 ( -164,  2994)";"16250 ( -1936,  34437)";"11260 (  -687, 23208)";"2252 (   -5,  4509)";" 3378 (  339,  6418)";" 6081 (  609, 11552)";"40%"
"2015-02-03";"82";"19539 ( 7866,  31212)";"279 ( -14,  572)";" 97911 ( 34352, 161470)";"1396 ( -151,  2942)";"16023 ( -1793,  33839)";"11103 (  -595, 22801)";"2221 (   12,  4430)";" 3331 (  355,  6307)";" 5996 (  638, 11353)";"40%"
"2015-02-02";"81";"19260 ( 7880,  30641)";"275 ( -12,  562)";" 96515 ( 34500, 158530)";"1376 ( -139,  2891)";"15799 ( -1653,  33251)";"10948 (  -506, 22402)";"2190 (   28,  4352)";" 3284 (  370,  6198)";" 5912 (  667, 11157)";"40%"
"2015-02-01";"80";"18985 ( 7891,  30079)";"271 ( -10,  552)";" 95139 ( 34636, 155642)";"1357 ( -127,  2841)";"15578 ( -1516,  32673)";"10795 (  -419, 22009)";"2159 (   43,  4275)";" 3238 (  385,  6092)";" 5829 (  694, 10965)";"40%"
"2015-01-31";"79";"18714 ( 7900,  29527)";"268 (  -7,  543)";" 93782 ( 34760, 152804)";"1338 ( -116,  2791)";"15360 ( -1383,  32103)";"10644 (  -335, 21623)";"2129 (   59,  4199)";" 3193 (  400,  5986)";" 5748 (  720, 10775)";"40%"
"2015-01-30";"78";"18446 ( 7906,  28985)";"264 (  -5,  533)";" 92444 ( 34873, 150016)";"1319 ( -104,  2743)";"15146 ( -1252,  31544)";"10495 (  -252, 21243)";"2099 (   74,  4125)";" 3149 (  414,  5883)";" 5667 (  746, 10589)";"40%"
"2015-01-29";"77";"18182 ( 7911,  28453)";"260 (  -3,  524)";" 91125 ( 34974, 147276)";"1301 (  -93,  2695)";"14934 ( -1125,  30993)";"10348 (  -172, 20869)";"2070 (   88,  4052)";" 3105 (  428,  5781)";" 5588 (  771, 10406)";"40%"
"2015-01-28";"76";"17922 ( 7914,  27930)";"257 (  -1,  514)";" 89824 ( 35065, 144584)";"1283 (  -83,  2648)";"14725 ( -1001,  30451)";"10204 (   -94, 20501)";"2041 (  102,  3980)";" 3061 (  442,  5681)";" 5510 (  795, 10226)";"40%"
"2015-01-27";"75";"17665 ( 7915,  27416)";"253 (   0,  505)";" 88542 ( 35144, 141939)";"1265 (  -72,  2601)";"14519 (  -880,  29918)";"10061 (   -18, 20140)";"2013 (  116,  3909)";" 3018 (  454,  5582)";" 5433 (  818, 10048)";"40%"
