"Date";"Days from today";"Cases (reported)";"New daily cases (reported)";"Cases (corrected for underreporting)";"New daily cases (corrected for underreporting)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"Beds for CDC target of 25% cases in ETC";"Beds for CDC target of 45% cases in reduced transmission";"Reporting (treatment) quotient"
"2015-04-09";"126";"24479 (10484, 38475)";"187 ( -57, 431)";"116192 (44355, 188030)";" 876 (-336, 2089)";"10018 ( -3894, 23929)";"7419 (-2275, 17113)";"1586 ( -358, 3531)";"2251 ( -221, 4723)";"4052 ( -397,  8502)";"40%"
"2015-04-08";"125";"24292 (10539, 38046)";"186 ( -54, 427)";"115316 (44683, 185950)";" 871 (-326, 2068)";" 9958 ( -3773, 23689)";"7375 (-2191, 16940)";"1577 ( -341, 3496)";"2238 ( -201, 4677)";"4028 ( -362,  8419)";"40%"
"2015-04-07";"124";"24106 (10591, 37620)";"185 ( -52, 422)";"114445 (45000, 183890)";" 866 (-315, 2047)";" 9899 ( -3653, 23451)";"7331 (-2107, 16769)";"1568 ( -324, 3460)";"2225 ( -182, 4631)";"4005 ( -327,  8336)";"40%"
"2015-04-06";"123";"23921 (10642, 37200)";"184 ( -50, 418)";"113579 (45307, 181852)";" 861 (-305, 2026)";" 9840 ( -3536, 23215)";"7288 (-2024, 16600)";"1559 ( -308, 3425)";"2212 ( -163, 4586)";"3981 ( -293,  8255)";"40%"
"2015-04-05";"122";"23737 (10691, 36783)";"183 ( -48, 414)";"112719 (45605, 179833)";" 855 (-295, 2006)";" 9781 ( -3419, 22981)";"7245 (-1942, 16432)";"1550 ( -291, 3390)";"2199 ( -144, 4541)";"3958 ( -259,  8174)";"40%"
"2015-04-04";"121";"23554 (10737, 36371)";"182 ( -46, 410)";"111863 (45892, 177835)";" 850 (-285, 1986)";" 9723 ( -3304, 22750)";"7202 (-1862, 16266)";"1541 ( -275, 3356)";"2186 ( -125, 4497)";"3934 ( -226,  8094)";"40%"
"2015-04-03";"120";"23372 (10782, 35962)";"181 ( -44, 406)";"111013 (46169, 175858)";" 845 (-275, 1966)";" 9665 ( -3190, 22521)";"7160 (-1782, 16102)";"1532 ( -259, 3322)";"2173 ( -107, 4453)";"3911 ( -193,  8015)";"40%"
"2015-04-02";"119";"23191 (10825, 35558)";"180 ( -42, 401)";"110168 (46436, 173900)";" 840 (-265, 1946)";" 9608 ( -3078, 22294)";"7118 (-1703, 15939)";"1523 ( -243, 3288)";"2160 (  -89, 4409)";"3888 ( -160,  7937)";"40%"
"2015-04-01";"118";"23012 (10865, 35158)";"179 ( -40, 397)";"109328 (46694, 171961)";" 835 (-255, 1926)";" 9551 ( -2967, 22069)";"7076 (-1626, 15778)";"1514 ( -227, 3255)";"2147 (  -71, 4366)";"3865 ( -128,  7859)";"40%"
"2015-03-31";"117";"22833 (10904, 34762)";"178 ( -38, 393)";"108492 (46942, 170042)";" 830 (-246, 1907)";" 9494 ( -2857, 21846)";"7034 (-1549, 15618)";"1505 ( -212, 3222)";"2135 (  -54, 4323)";"3843 (  -96,  7782)";"40%"
"2015-03-30";"116";"22656 (10941, 34370)";"177 ( -36, 389)";"107662 (47181, 168143)";" 825 (-236, 1887)";" 9438 ( -2749, 21625)";"6993 (-1473, 15460)";"1496 ( -197, 3189)";"2122 (  -36, 4281)";"3820 (  -65,  7706)";"40%"
"2015-03-29";"115";"22479 (10976, 33982)";"175 ( -34, 385)";"106836 (47410, 166263)";" 821 (-227, 1868)";" 9382 ( -2642, 21407)";"6952 (-1399, 15303)";"1488 ( -182, 3157)";"2110 (  -19, 4239)";"3798 (  -34,  7630)";"40%"
"2015-03-28";"114";"22304 (11009, 33598)";"174 ( -33, 382)";"106016 (47630, 164401)";" 816 (-218, 1849)";" 9327 ( -2537, 21191)";"6912 (-1325, 15148)";"1479 ( -167, 3125)";"2098 (   -2, 4198)";"3776 (   -4,  7556)";"40%"
"2015-03-27";"113";"22129 (11041, 33218)";"173 ( -31, 378)";"105200 (47841, 162559)";" 811 (-209, 1831)";" 9272 ( -2433, 20976)";"6871 (-1252, 14995)";"1471 ( -152, 3093)";"2085 (   14, 4156)";"3754 (   26,  7482)";"40%"
"2015-03-26";"112";"21956 (11070, 32841)";"172 ( -29, 374)";"104389 (48044, 160735)";" 806 (-200, 1812)";" 9217 ( -2330, 20764)";"6831 (-1180, 14843)";"1462 ( -138, 3062)";"2073 (   31, 4116)";"3732 (   56,  7408)";"40%"
"2015-03-25";"111";"21783 (11098, 32469)";"171 ( -27, 370)";"103583 (48237, 158929)";" 801 (-191, 1794)";" 9163 ( -2228, 20554)";"6791 (-1109, 14692)";"1454 ( -124, 3031)";"2061 (   47, 4075)";"3710 (   85,  7336)";"40%"
"2015-03-24";"110";"21612 (11124, 32100)";"170 ( -25, 366)";"102782 (48421, 157142)";" 797 (-182, 1776)";" 9109 ( -2128, 20346)";"6752 (-1039, 14543)";"1445 ( -110, 3000)";"2049 (   63, 4035)";"3689 (  113,  7264)";"40%"
"2015-03-23";"109";"21441 (11148, 31735)";"169 ( -24, 363)";"101985 (48597, 155372)";" 792 (-174, 1758)";" 9056 ( -2029, 20140)";"6713 ( -970, 14396)";"1437 (  -96, 2970)";"2037 (   79, 3996)";"3667 (  142,  7193)";"40%"
