"Date";"Days from today";"Cases (reported)";"New daily cases (reported)";"Cases (corrected for underreporting)";"New daily cases (corrected for underreporting)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"Beds for CDC target of 25% cases in ETC";"Beds for CDC target of 45% cases in reduced transmission";"Reporting (treatment) quotient"
"2015-04-10";"130";"30633 (20657, 40609)";"  279 (  110,   449)";"146596 ( 95541, 197650)";"  1327 (   489,   2164)";"15180 (5579, 24781)";"11082 (4341, 17822)";"2334 (973, 3696)";"3354 (1635, 5073)";"6037 (2943,  9132)";"40%"
"2015-04-09";"129";"30354 (20547, 40160)";"  277 (  110,   445)";"145269 ( 95051, 195487)";"  1316 (   489,   2144)";"15065 (5579, 24551)";"10997 (4340, 17654)";"2316 (972, 3660)";"3328 (1631, 5026)";"5991 (2935,  9047)";"40%"
"2015-04-08";"128";"30076 (20437, 39715)";"  275 (  110,   441)";"143953 ( 94561, 193345)";"  1306 (   489,   2124)";"14951 (5579, 24322)";"10913 (4339, 17487)";"2299 (972, 3626)";"3303 (1626, 4980)";"5945 (2927,  8963)";"40%"
"2015-04-07";"127";"29801 (20327, 39275)";"  273 (  110,   436)";"142646 ( 94071, 191222)";"  1297 (   489,   2104)";"14837 (5579, 24095)";"10830 (4338, 17322)";"2281 (971, 3591)";"3278 (1622, 4933)";"5900 (2920,  8880)";"40%"
"2015-04-06";"126";"29528 (20217, 38839)";"  271 (  110,   432)";"141350 ( 93581, 189119)";"  1287 (   489,   2084)";"14724 (5579, 23869)";"10747 (4336, 17158)";"2264 (971, 3556)";"3253 (1618, 4888)";"5855 (2912,  8798)";"40%"
"2015-04-05";"125";"29257 (20107, 38406)";"  269 (  110,   428)";"140063 ( 93091, 187035)";"  1277 (   489,   2064)";"14612 (5578, 23646)";"10665 (4335, 16995)";"2246 (970, 3522)";"3228 (1613, 4842)";"5810 (2904,  8716)";"40%"
"2015-04-04";"124";"28988 (19998, 37978)";"  267 (  110,   424)";"138786 ( 92601, 184971)";"  1267 (   489,   2045)";"14501 (5578, 23424)";"10584 (4333, 16834)";"2229 (969, 3488)";"3203 (1609, 4797)";"5766 (2896,  8635)";"40%"
"2015-04-03";"123";"28721 (19888, 37554)";"  265 (  110,   420)";"137519 ( 92111, 182927)";"  1258 (   489,   2026)";"14390 (5577, 23204)";"10503 (4331, 16674)";"2212 (969, 3455)";"3179 (1605, 4752)";"5722 (2889,  8554)";"40%"
"2015-04-02";"122";"28456 (19778, 37134)";"  263 (  110,   416)";"136262 ( 91621, 180902)";"  1248 (   489,   2007)";"14281 (5576, 22986)";"10422 (4329, 16515)";"2195 (968, 3422)";"3154 (1600, 4708)";"5678 (2881,  8475)";"40%"
"2015-04-01";"121";"28193 (19668, 36718)";"  261 (  110,   412)";"135014 ( 91132, 178895)";"  1238 (   489,   1988)";"14172 (5575, 22769)";"10342 (4327, 16358)";"2178 (967, 3389)";"3130 (1596, 4664)";"5634 (2873,  8395)";"40%"
