"Date";"Days from today";"Cases (reported)";"New daily cases (reported)";"Cases (total)";"New daily cases (total)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"CDC 25% ETU target";"CDC 45% reduced transmission target";"Reporting quotient"
"2015-03-14";"122";"45025 (28649,  61402)";"474 (176,  772)";"218876 (134283, 303469)";"2266 (775, 3757)";"25940 (8826, 43054)";"18800 (6936, 30663)";"3928 (1566, 6290)";"5682 (2658,  8706)";"10228 (4784, 15671)";"40%"
"2015-03-13";"121";"44551 (28471,  60631)";"470 (176,  764)";"216610 (133502, 299718)";"2247 (776, 3718)";"25723 (8837, 42610)";"18640 (6942, 30338)";"3894 (1567, 6222)";"5634 (2652,  8615)";"10140 (4773, 15508)";"40%"
"2015-03-12";"120";"44081 (28294,  59868)";"466 (176,  756)";"214363 (132721, 296006)";"2228 (777, 3680)";"25508 (8848, 42168)";"18481 (6948, 30015)";"3861 (1567, 6154)";"5585 (2646,  8525)";"10054 (4762, 15346)";"40%"
"2015-03-11";"119";"43615 (28117,  59114)";"462 (176,  748)";"212135 (131938, 292333)";"2209 (778, 3641)";"25294 (8859, 41729)";"18324 (6953, 29694)";"3827 (1568, 6087)";"5538 (2639,  8436)";" 9968 (4751, 15185)";"40%"
"2015-03-10";"118";"43153 (27939,  58368)";"458 (176,  740)";"209926 (131154, 288698)";"2191 (779, 3603)";"25081 (8870, 41293)";"18167 (6958, 29376)";"3794 (1568, 6020)";"5490 (2633,  8347)";" 9882 (4740, 15025)";"40%"
"2015-03-09";"117";"42695 (27762,  57629)";"454 (176,  732)";"207735 (130369, 285101)";"2172 (779, 3565)";"24870 (8880, 40860)";"18011 (6963, 29060)";"3761 (1568, 5954)";"5443 (2627,  8259)";" 9798 (4729, 14867)";"40%"
"2015-03-08";"116";"42241 (27584,  56899)";"450 (176,  724)";"205563 (129583, 281542)";"2154 (780, 3528)";"24660 (8890, 40430)";"17857 (6967, 28747)";"3728 (1568, 5888)";"5396 (2621,  8172)";" 9713 (4717, 14709)";"40%"
"2015-03-07";"115";"41791 (27406,  56177)";"446 (177,  716)";"203409 (128797, 278020)";"2136 (781, 3490)";"24451 (8899, 40003)";"17703 (6971, 28436)";"3696 (1568, 5823)";"5350 (2614,  8085)";" 9630 (4706, 14553)";"40%"
"2015-03-06";"114";"41345 (27228,  55462)";"442 (177,  708)";"201273 (128009, 274536)";"2118 (782, 3453)";"24244 (8908, 39579)";"17551 (6974, 28128)";"3663 (1568, 5759)";"5304 (2608,  7999)";" 9546 (4694, 14399)";"40%"
"2015-03-05";"113";"40903 (27050,  54755)";"439 (177,  701)";"199155 (127221, 271089)";"2100 (783, 3417)";"24038 (8917, 39159)";"17399 (6977, 27822)";"3631 (1568, 5695)";"5258 (2601,  7914)";" 9464 (4683, 14245)";"40%"
"2015-03-04";"112";"40464 (26872,  54056)";"435 (177,  693)";"197056 (126432, 267679)";"2082 (783, 3380)";"23833 (8925, 38741)";"17249 (6979, 27518)";"3600 (1567, 5632)";"5212 (2595,  7829)";" 9382 (4671, 14093)";"40%"
"2015-03-03";"111";"40029 (26694,  53365)";"431 (177,  685)";"194974 (125643, 264305)";"2064 (784, 3344)";"23630 (8933, 38327)";"17100 (6982, 27217)";"3568 (1567, 5569)";"5167 (2588,  7745)";" 9300 (4659, 13942)";"40%"
"2015-03-02";"110";"39598 (26515,  52681)";"427 (177,  678)";"192910 (124852, 260968)";"2046 (784, 3308)";"23428 (8940, 37916)";"16951 (6983, 26919)";"3537 (1566, 5507)";"5122 (2582,  7662)";" 9219 (4647, 13792)";"40%"
"2015-03-01";"109";"39171 (26337,  52005)";"424 (177,  670)";"190864 (124061, 257666)";"2029 (785, 3272)";"23227 (8946, 37508)";"16804 (6985, 26623)";"3505 (1566, 5445)";"5077 (2575,  7580)";" 9139 (4635, 13643)";"40%"
"2015-02-28";"108";"38747 (26159,  51336)";"420 (177,  663)";"188835 (123270, 254400)";"2011 (786, 3237)";"23028 (8952, 37103)";"16657 (6985, 26330)";"3475 (1565, 5384)";"5033 (2568,  7498)";" 9059 (4623, 13496)";"40%"
"2015-02-27";"107";"38327 (25980,  50674)";"416 (177,  656)";"186824 (122478, 251170)";"1994 (786, 3202)";"22829 (8958, 36701)";"16512 (6986, 26039)";"3444 (1564, 5323)";"4989 (2561,  7417)";" 8980 (4611, 13350)";"40%"
"2015-02-26";"106";"37911 (25802,  50020)";"413 (177,  648)";"184830 (121685, 247974)";"1977 (786, 3167)";"22633 (8963, 36303)";"16368 (6986, 25750)";"3413 (1563, 5263)";"4945 (2555,  7336)";" 8902 (4598, 13205)";"40%"
"2015-02-25";"105";"37499 (25624,  49373)";"409 (177,  641)";"182853 (120892, 244814)";"1960 (787, 3133)";"22437 (8967, 35907)";"16225 (6985, 25464)";"3383 (1562, 5204)";"4902 (2548,  7256)";" 8824 (4586, 13061)";"40%"
"2015-02-24";"104";"37090 (25445,  48734)";"405 (177,  634)";"180893 (120099, 241688)";"1943 (787, 3098)";"22243 (8971, 35515)";"16082 (6984, 25181)";"3353 (1561, 5145)";"4859 (2541,  7177)";" 8746 (4573, 12919)";"40%"
"2015-02-23";"103";"36684 (25267,  48101)";"402 (177,  627)";"178951 (119305, 238596)";"1926 (787, 3064)";"22051 (8975, 35127)";"15941 (6983, 24900)";"3323 (1560, 5087)";"4816 (2534,  7099)";" 8669 (4560, 12778)";"40%"
"2015-02-22";"102";"36282 (25089,  47476)";"398 (177,  620)";"177025 (118511, 235539)";"1909 (788, 3031)";"21859 (8977, 34741)";"15801 (6981, 24621)";"3294 (1559, 5029)";"4774 (2526,  7021)";" 8593 (4548, 12638)";"40%"
"2015-02-21";"101";"35884 (24910,  46858)";"395 (177,  613)";"175116 (117717, 232515)";"1893 (788, 2997)";"21669 (8980, 34359)";"15662 (6979, 24345)";"3264 (1557, 4972)";"4732 (2519,  6944)";" 8517 (4535, 12499)";"40%"
"2015-02-20";"100";"35489 (24732,  46246)";"391 (177,  606)";"173223 (116922, 229524)";"1876 (788, 2964)";"21480 (8981, 33980)";"15524 (6976, 24072)";"3235 (1556, 4915)";"4690 (2512,  6868)";" 8442 (4521, 12362)";"40%"
"2015-02-19";"99";"35098 (24554,  45642)";"388 (176,  599)";"171347 (116128, 226567)";"1860 (788, 2931)";"21293 (8982, 33604)";"15387 (6972, 23801)";"3206 (1554, 4859)";"4648 (2505,  6792)";" 8367 (4508, 12226)";"40%"
"2015-02-18";"98";"34710 (24376,  45044)";"384 (176,  592)";"169488 (115333, 223642)";"1843 (788, 2899)";"21107 (8983, 33231)";"15251 (6969, 23532)";"3178 (1552, 4803)";"4607 (2497,  6717)";" 8293 (4495, 12091)";"40%"
"2015-02-17";"97";"34326 (24198,  44453)";"381 (176,  586)";"167644 (114538, 220750)";"1827 (788, 2867)";"20922 (8983, 32862)";"15115 (6965, 23266)";"3149 (1551, 4748)";"4566 (2490,  6643)";" 8219 (4481, 11957)";"40%"
"2015-02-16";"96";"33945 (24020,  43869)";"378 (176,  579)";"165817 (113744, 217890)";"1811 (788, 2835)";"20739 (8982, 32495)";"14981 (6960, 23003)";"3121 (1549, 4693)";"4526 (2482,  6569)";" 8146 (4468, 11824)";"40%"
"2015-02-15";"95";"33567 (23843,  43292)";"374 (176,  572)";"164006 (112949, 215063)";"1795 (788, 2803)";"20557 (8981, 32132)";"14848 (6955, 22741)";"3093 (1547, 4639)";"4485 (2474,  6496)";" 8074 (4454, 11693)";"40%"
"2015-02-14";"94";"33193 (23665,  42721)";"371 (176,  566)";"162211 (112154, 212267)";"1779 (788, 2771)";"20376 (8979, 31773)";"14716 (6949, 22483)";"3065 (1545, 4586)";"4445 (2467,  6424)";" 8002 (4440, 11563)";"40%"
"2015-02-13";"93";"32822 (23488,  42156)";"368 (176,  560)";"160431 (111360, 209502)";"1764 (787, 2740)";"20196 (8976, 31416)";"14585 (6943, 22227)";"3038 (1542, 4533)";"4406 (2459,  6352)";" 7930 (4426, 11434)";"40%"
"2015-02-12";"92";"32454 (23310,  41599)";"364 (176,  553)";"158667 (110566, 206769)";"1748 (787, 2709)";"20018 (8973, 31063)";"14455 (6937, 21973)";"3010 (1540, 4481)";"4366 (2451,  6281)";" 7859 (4412, 11306)";"40%"
"2015-02-11";"91";"32090 (23133,  41047)";"361 (175,  547)";"156919 (109772, 204066)";"1733 (787, 2679)";"19841 (8969, 30713)";"14326 (6930, 21721)";"2983 (1538, 4429)";"4327 (2443,  6211)";" 7789 (4398, 11180)";"40%"
"2015-02-10";"90";"31729 (22956,  40502)";"358 (175,  541)";"155186 (108978, 201394)";"1717 (786, 2649)";"19666 (8965, 30366)";"14197 (6922, 21473)";"2956 (1535, 4377)";"4288 (2435,  6142)";" 7719 (4383, 11055)";"40%"
"2015-02-09";"89";"31371 (22780,  39963)";"355 (175,  534)";"153469 (108185, 198753)";"1702 (786, 2619)";"19491 (8960, 30022)";"14070 (6915, 21226)";"2929 (1532, 4326)";"4250 (2427,  6073)";" 7650 (4369, 10931)";"40%"
"2015-02-08";"88";"31017 (22603,  39430)";"351 (175,  528)";"151767 (107392, 196141)";"1687 (785, 2589)";"19318 (8955, 29682)";"13944 (6906, 20982)";"2903 (1530, 4276)";"4212 (2419,  6004)";" 7581 (4354, 10808)";"40%"
"2015-02-07";"87";"30665 (22427,  38904)";"348 (175,  522)";"150080 (106600, 193560)";"1672 (785, 2559)";"19147 (8949, 29345)";"13819 (6897, 20740)";"2877 (1527, 4226)";"4174 (2411,  5937)";" 7513 (4340, 10686)";"40%"
"2015-02-06";"86";"30317 (22251,  38383)";"345 (174,  516)";"148408 (105808, 191007)";"1657 (784, 2530)";"18976 (8942, 29010)";"13695 (6888, 20501)";"2850 (1524, 4177)";"4136 (2403,  5870)";" 7445 (4325, 10566)";"40%"
"2015-02-05";"85";"29972 (22075,  37869)";"342 (174,  510)";"146751 (105017, 188484)";"1642 (783, 2501)";"18807 (8934, 28680)";"13571 (6879, 20264)";"2825 (1521, 4128)";"4099 (2394,  5804)";" 7378 (4310, 10446)";"40%"
"2015-02-04";"84";"29630 (21899,  37360)";"339 (174,  504)";"145108 (104227, 185990)";"1628 (783, 2473)";"18639 (8926, 28352)";"13449 (6869, 20029)";"2799 (1518, 4080)";"4062 (2386,  5738)";" 7312 (4295, 10328)";"40%"
"2015-02-03";"83";"29291 (21724,  36858)";"336 (173,  498)";"143481 (103437, 183524)";"1613 (782, 2444)";"18473 (8918, 28027)";"13328 (6858, 19797)";"2773 (1515, 4032)";"4025 (2378,  5673)";" 7245 (4280, 10211)";"40%"
"2015-02-02";"82";"28955 (21549,  36361)";"333 (173,  493)";"141867 (102648, 181087)";"1599 (781, 2416)";"18307 (8909, 27706)";"13207 (6847, 19567)";"2748 (1512, 3985)";"3989 (2369,  5609)";" 7180 (4264, 10095)";"40%"
"2015-02-01";"81";"28622 (21374,  35870)";"330 (173,  487)";"140269 (101860, 178678)";"1584 (780, 2389)";"18143 (8899, 27387)";"13088 (6836, 19340)";"2723 (1508, 3938)";"3953 (2360,  5545)";" 7115 (4249,  9981)";"40%"
"2015-01-31";"80";"28292 (21199,  35385)";"327 (173,  481)";"138684 (101072, 176297)";"1570 (779, 2361)";"17980 (8889, 27072)";"12969 (6824, 19114)";"2698 (1505, 3891)";"3917 (2352,  5482)";" 7050 (4233,  9867)";"40%"
"2015-01-30";"79";"27965 (21025,  34906)";"324 (172,  475)";"137114 (100286, 173943)";"1556 (778, 2334)";"17819 (8878, 26760)";"12852 (6812, 18891)";"2674 (1501, 3846)";"3881 (2343,  5419)";" 6986 (4218,  9755)";"40%"
"2015-01-29";"78";"27641 (20851,  34432)";"321 (172,  470)";"135558 ( 99500, 171616)";"1542 (777, 2307)";"17659 (8866, 26451)";"12735 (6799, 18671)";"2649 (1498, 3800)";"3846 (2334,  5358)";" 6923 (4202,  9644)";"40%"
"2015-01-28";"77";"27320 (20677,  33964)";"318 (172,  464)";"134016 ( 98716, 169317)";"1528 (776, 2280)";"17500 (8854, 26145)";"12619 (6786, 18452)";"2625 (1494, 3755)";"3811 (2326,  5296)";" 6860 (4186,  9534)";"40%"
"2015-01-27";"76";"27002 (20504,  33501)";"315 (171,  459)";"132488 ( 97932, 167044)";"1514 (775, 2254)";"17342 (8842, 25842)";"12504 (6772, 18236)";"2601 (1490, 3711)";"3776 (2317,  5236)";" 6797 (4170,  9425)";"40%"
"2015-01-26";"75";"26687 (20331,  33044)";"312 (171,  454)";"130974 ( 97150, 164798)";"1501 (774, 2227)";"17185 (8828, 25542)";"12390 (6759, 18022)";"2577 (1487, 3667)";"3742 (2308,  5176)";" 6735 (4154,  9317)";"40%"
"2015-01-25";"74";"26375 (20158,  32592)";"309 (171,  448)";"129473 ( 96369, 162578)";"1487 (773, 2202)";"17030 (8815, 25245)";"12278 (6744, 17811)";"2553 (1483, 3624)";"3708 (2299,  5117)";" 6674 (4138,  9210)";"40%"
