"Date";"Days from today";"ETU caseload";"Nurses and paramedics";"Hygienists and nurses aids";"Doctors";"Support staff";"Total"
"2015-02-26";"106";"31143 ( 2571,  59715)";"15572 (1286, 29858)";"15572 (1286, 29858)";"3114 ( 257,  5971)";"31143 ( 2571,  59715)";" 65401 (30291, 100511)"
"2015-02-25";"105";"30535 ( 2655,  58415)";"15268 (1328, 29208)";"15268 (1328, 29208)";"3054 ( 266,  5842)";"30535 ( 2655,  58415)";" 64125 (29865,  98385)"
"2015-02-24";"104";"29937 ( 2739,  57135)";"14968 (1369, 28567)";"14968 (1369, 28567)";"2994 ( 274,  5714)";"29937 ( 2739,  57135)";" 62867 (29446,  96288)"
"2015-02-23";"103";"29348 ( 2824,  55872)";"14674 (1412, 27936)";"14674 (1412, 27936)";"2935 ( 283,  5587)";"29348 ( 2824,  55872)";" 61631 (29037,  94225)"
"2015-02-22";"102";"28768 ( 2907,  54629)";"14384 (1453, 27315)";"14384 (1453, 27315)";"2877 ( 291,  5463)";"28768 ( 2907,  54629)";" 60413 (28634,  92192)"
"2015-02-21";"101";"28199 ( 2991,  53407)";"14100 (1496, 26704)";"14100 (1496, 26704)";"2820 ( 299,  5341)";"28199 ( 2991,  53407)";" 59219 (28243,  90195)"
"2015-02-20";"100";"27639 ( 3074,  52204)";"13820 (1538, 26102)";"13820 (1538, 26102)";"2764 ( 308,  5220)";"27639 ( 3074,  52204)";" 58043 (27857,  88229)"
"2015-02-19";"99";"27088 ( 3156,  51020)";"13544 (1578, 25510)";"13544 (1578, 25510)";"2709 ( 316,  5102)";"27088 ( 3156,  51020)";" 56885 (27477,  86293)"
"2015-02-18";"98";"26548 ( 3238,  49858)";"13274 (1619, 24929)";"13274 (1619, 24929)";"2655 ( 324,  4986)";"26548 ( 3238,  49858)";" 55751 (27107,  84395)"
"2015-02-17";"97";"26016 ( 3317,  48715)";"13008 (1659, 24357)";"13008 (1659, 24357)";"2602 ( 332,  4872)";"26016 ( 3317,  48715)";" 54634 (26742,  82526)"
"2015-02-16";"96";"25494 ( 3396,  47592)";"12747 (1698, 23796)";"12747 (1698, 23796)";"2549 ( 339,  4759)";"25494 ( 3396,  47592)";" 53537 (26383,  80691)"
"2015-02-15";"95";"24981 ( 3473,  46489)";"12490 (1736, 23244)";"12490 (1736, 23244)";"2498 ( 347,  4649)";"24981 ( 3473,  46489)";" 52459 (26029,  78889)"
"2015-02-14";"94";"24478 ( 3548,  45408)";"12239 (1774, 22704)";"12239 (1774, 22704)";"2448 ( 355,  4541)";"24478 ( 3548,  45408)";" 51404 (25685,  77123)"
"2015-02-13";"93";"23984 ( 3622,  44346)";"11992 (1811, 22173)";"11992 (1811, 22173)";"2398 ( 362,  4434)";"23984 ( 3622,  44346)";" 50366 (25345,  75387)"
"2015-02-12";"92";"23499 ( 3694,  43304)";"11750 (1847, 21653)";"11750 (1847, 21653)";"2350 ( 369,  4331)";"23499 ( 3694,  43304)";" 49349 (25012,  73686)"
"2015-02-11";"91";"23023 ( 3763,  42283)";"11512 (1882, 21142)";"11512 (1882, 21142)";"2302 ( 376,  4228)";"23023 ( 3763,  42283)";" 48349 (24682,  72016)"
"2015-02-10";"90";"22556 ( 3831,  41281)";"11278 (1915, 20641)";"11278 (1915, 20641)";"2256 ( 383,  4129)";"22556 ( 3831,  41281)";" 47368 (24358,  70378)"
"2015-02-09";"89";"22098 ( 3896,  40300)";"11049 (1948, 20150)";"11049 (1948, 20150)";"2210 ( 390,  4030)";"22098 ( 3896,  40300)";" 46406 (24039,  68773)"
"2015-02-08";"88";"21649 ( 3960,  39338)";"10824 (1979, 19669)";"10824 (1979, 19669)";"2165 ( 396,  3934)";"21649 ( 3960,  39338)";" 45462 (23725,  67199)"
"2015-02-07";"87";"21209 ( 4021,  38397)";"10604 (2010, 19198)";"10604 (2010, 19198)";"2121 ( 402,  3840)";"21209 ( 4021,  38397)";" 44538 (23417,  65659)"
"2015-02-06";"86";"20777 ( 4079,  37475)";"10388 (2039, 18737)";"10388 (2039, 18737)";"2078 ( 408,  3748)";"20777 ( 4079,  37475)";" 43631 (23113,  64149)"
"2015-02-05";"85";"20353 ( 4135,  36571)";"10176 (2067, 18285)";"10176 (2067, 18285)";"2035 ( 413,  3657)";"20353 ( 4135,  36571)";" 42740 (22811,  62669)"
"2015-02-04";"84";"19938 ( 4189,  35687)";" 9969 (2094, 17844)";" 9969 (2094, 17844)";"1994 ( 419,  3569)";"19938 ( 4189,  35687)";" 41870 (22517,  61223)"
"2015-02-03";"83";"19531 ( 4239,  34823)";" 9766 (2120, 17412)";" 9766 (2120, 17412)";"1953 ( 424,  3482)";"19531 ( 4239,  34823)";" 41016 (22225,  59807)"
"2015-02-02";"82";"19133 ( 4289,  33977)";" 9566 (2144, 16988)";" 9566 (2144, 16988)";"1913 ( 429,  3397)";"19133 ( 4289,  33977)";" 40178 (21937,  58419)"
"2015-02-01";"81";"18742 ( 4335,  33149)";" 9371 (2167, 16575)";" 9371 (2167, 16575)";"1874 ( 433,  3315)";"18742 ( 4335,  33149)";" 39358 (21654,  57062)"
"2015-01-31";"80";"18360 ( 4379,  32341)";" 9180 (2189, 16171)";" 9180 (2189, 16171)";"1836 ( 438,  3234)";"18360 ( 4379,  32341)";" 38556 (21376,  55736)"
"2015-01-30";"79";"17985 ( 4420,  31550)";" 8992 (2210, 15774)";" 8992 (2210, 15774)";"1798 ( 442,  3154)";"17985 ( 4420,  31550)";" 37767 (21098,  54436)"
"2015-01-29";"78";"17618 ( 4459,  30777)";" 8809 (2229, 15389)";" 8809 (2229, 15389)";"1762 ( 446,  3078)";"17618 ( 4459,  30777)";" 36998 (20828,  53168)"
"2015-01-28";"77";"17258 ( 4495,  30021)";" 8629 (2247, 15011)";" 8629 (2247, 15011)";"1726 ( 450,  3002)";"17258 ( 4495,  30021)";" 36242 (20558,  51926)"
"2015-01-27";"76";"16906 ( 4529,  29283)";" 8453 (2264, 14642)";" 8453 (2264, 14642)";"1691 ( 453,  2929)";"16906 ( 4529,  29283)";" 35503 (20294,  50712)"
"2015-01-26";"75";"16561 ( 4560,  28562)";" 8280 (2279, 14281)";" 8280 (2279, 14281)";"1656 ( 456,  2856)";"16561 ( 4560,  28562)";" 34777 (20030,  49524)"
"2015-01-25";"74";"16223 ( 4589,  27857)";" 8111 (2294, 13928)";" 8111 (2294, 13928)";"1622 ( 459,  2785)";"16223 ( 4589,  27857)";" 34067 (19770,  48364)"
"2015-01-24";"73";"15893 ( 4616,  27170)";" 7946 (2307, 13585)";" 7946 (2307, 13585)";"1589 ( 461,  2717)";"15893 ( 4616,  27170)";" 33374 (19516,  47232)"
"2015-01-23";"72";"15569 ( 4639,  26499)";" 7784 (2319, 13249)";" 7784 (2319, 13249)";"1557 ( 464,  2650)";"15569 ( 4639,  26499)";" 32694 (19264,  46124)"
"2015-01-22";"71";"15253 ( 4662,  25844)";" 7626 (2331, 12921)";" 7626 (2331, 12921)";"1525 ( 466,  2584)";"15253 ( 4662,  25844)";" 32030 (19016,  45044)"
"2015-01-21";"70";"14943 ( 4682,  25204)";" 7472 (2341, 12603)";" 7472 (2341, 12603)";"1494 ( 468,  2520)";"14943 ( 4682,  25204)";" 31381 (18772,  43990)"
"2015-01-20";"69";"14639 ( 4699,  24579)";" 7319 (2349, 12289)";" 7319 (2349, 12289)";"1464 ( 470,  2458)";"14639 ( 4699,  24579)";" 30741 (18526,  42956)"
"2015-01-19";"68";"14342 ( 4714,  23970)";" 7171 (2357, 11985)";" 7171 (2357, 11985)";"1434 ( 471,  2397)";"14342 ( 4714,  23970)";" 30118 (18287,  41949)"
"2015-01-18";"67";"14052 ( 4727,  23377)";" 7026 (2364, 11688)";" 7026 (2364, 11688)";"1405 ( 473,  2337)";"14052 ( 4727,  23377)";" 29509 (18051,  40967)"
"2015-01-17";"66";"13767 ( 4738,  22796)";" 6883 (2368, 11398)";" 6883 (2368, 11398)";"1377 ( 474,  2280)";"13767 ( 4738,  22796)";" 28910 (17815,  40005)"
"2015-01-16";"65";"13489 ( 4747,  22231)";" 6744 (2373, 11115)";" 6744 (2373, 11115)";"1349 ( 475,  2223)";"13489 ( 4747,  22231)";" 28326 (17584,  39068)"
"2015-01-15";"64";"13217 ( 4754,  21680)";" 6608 (2377, 10839)";" 6608 (2377, 10839)";"1322 ( 476,  2168)";"13217 ( 4754,  21680)";" 27755 (17356,  38154)"
"2015-01-14";"63";"12951 ( 4760,  21142)";" 6476 (2380, 10572)";" 6476 (2380, 10572)";"1295 ( 476,  2114)";"12951 ( 4760,  21142)";" 27198 (17132,  37264)"
"2015-01-13";"62";"12690 ( 4762,  20618)";" 6345 (2381, 10309)";" 6345 (2381, 10309)";"1269 ( 476,  2062)";"12690 ( 4762,  20618)";" 26649 (16907,  36391)"
"2015-01-12";"61";"12435 ( 4764,  20106)";" 6218 (2382, 10054)";" 6218 (2382, 10054)";"1244 ( 477,  2011)";"12435 ( 4764,  20106)";" 26115 (16688,  35542)"
"2015-01-11";"60";"12186 ( 4763,  19609)";" 6093 (2382,  9804)";" 6093 (2382,  9804)";"1219 ( 477,  1961)";"12186 ( 4763,  19609)";" 25591 (16470,  34712)"
"2015-01-10";"59";"11942 ( 4761,  19123)";" 5971 (2381,  9561)";" 5971 (2381,  9561)";"1194 ( 476,  1912)";"11942 ( 4761,  19123)";" 25078 (16254,  33902)"
"2015-01-09";"58";"11703 ( 4757,  18649)";" 5852 (2379,  9325)";" 5852 (2379,  9325)";"1170 ( 475,  1865)";"11703 ( 4757,  18649)";" 24577 (16042,  33112)"
"2015-01-08";"57";"11470 ( 4752,  18188)";" 5735 (2376,  9094)";" 5735 (2376,  9094)";"1147 ( 475,  1819)";"11470 ( 4752,  18188)";" 24087 (15832,  32342)"
"2015-01-07";"56";"11241 ( 4744,  17738)";" 5620 (2372,  8868)";" 5620 (2372,  8868)";"1124 ( 474,  1774)";"11241 ( 4744,  17738)";" 23605 (15622,  31588)"
"2015-01-06";"55";"11018 ( 4736,  17300)";" 5509 (2368,  8650)";" 5509 (2368,  8650)";"1102 ( 474,  1730)";"11018 ( 4736,  17300)";" 23138 (15419,  30857)"
