"Date";"Days from today";"Caseload";"Administrator (coordination)";"Doctor (ETU)";"Doctor (coordination)";"Epidemiologist (contact tracing)";"Epidemiologist (coordination)";"Lab scientist (laboratories)";"Logistician (burials)";"Logistician (ETU)";"Logistician (coordination)";"Nurse (ETU)";"Public health specialist (Social mobilization)";"Public health specialist (coordination)";"Data management (coordination)";"Total personnel"
"2015-04-01";"140";"123832 (17262, 230402)";"136 (19, 253)";"279 ( 39, 519)";"68 ( 9, 127)";"155 (22, 288)";"204 (28, 380)";"415 ( 58, 772)";"204 (28, 380)";"551 ( 77, 1025)";"204 (28, 380)";"1102 (154, 2050)";"316 ( 44, 588)";"136 (19, 253)";"173 (24, 322)";"3943 (2699, 5187)"
"2015-03-31";"139";"121951 (16622, 227280)";"134 (18, 250)";"274 ( 37, 511)";"67 ( 9, 125)";"152 (20, 284)";"201 (27, 375)";"409 ( 56, 762)";"201 (27, 375)";"543 ( 74, 1012)";"201 (27, 375)";"1085 (148, 2022)";"311 ( 42, 580)";"134 (18, 250)";"171 (24, 318)";"3883 (2654, 5112)"
"2015-03-30";"138";"120068 (16010, 224126)";"132 (18, 246)";"270 ( 36, 504)";"66 ( 9, 123)";"150 (20, 280)";"198 (26, 370)";"402 ( 53, 751)";"198 (26, 370)";"534 ( 71,  997)";"198 (26, 370)";"1069 (143, 1995)";"306 ( 41, 571)";"132 (18, 246)";"168 (22, 314)";"3823 (2609, 5037)"
"2015-03-29";"137";"118185 (15427, 220943)";"130 (17, 243)";"266 ( 35, 497)";"65 ( 8, 122)";"148 (20, 276)";"195 (25, 365)";"396 ( 52, 740)";"195 (25, 365)";"526 ( 69,  983)";"195 (25, 365)";"1052 (137, 1967)";"301 ( 39, 563)";"130 (17, 243)";"165 (21, 309)";"3764 (2565, 4963)"
"2015-03-28";"136";"116303 (14873, 217733)";"128 (16, 240)";"262 ( 34, 490)";"64 ( 8, 120)";"145 (18, 272)";"192 (25, 359)";"390 ( 50, 730)";"192 (25, 359)";"518 ( 67,  969)";"192 (25, 359)";"1035 (132, 1938)";"297 ( 38, 556)";"128 (16, 240)";"163 (21, 305)";"3706 (2522, 4890)"
"2015-03-27";"135";"114424 (14347, 214501)";"126 (16, 236)";"257 ( 32, 482)";"63 ( 8, 118)";"143 (18, 268)";"189 (24, 354)";"383 ( 48, 718)";"189 (24, 354)";"509 ( 64,  954)";"189 (24, 354)";"1018 (127, 1909)";"292 ( 37, 547)";"126 (16, 236)";"160 (20, 300)";"3644 (2476, 4812)"
"2015-03-26";"134";"112548 (13847, 211249)";"124 (15, 233)";"253 ( 31, 475)";"62 ( 8, 116)";"141 (18, 264)";"186 (23, 349)";"377 ( 46, 708)";"186 (23, 349)";"501 ( 62,  940)";"186 (23, 349)";"1002 (124, 1880)";"287 ( 35, 539)";"124 (15, 233)";"158 (20, 296)";"3587 (2435, 4739)"
"2015-03-25";"133";"110677 (13375, 207979)";"122 (15, 229)";"249 ( 30, 468)";"61 ( 7, 115)";"138 (16, 260)";"183 (22, 344)";"371 ( 45, 697)";"183 (22, 344)";"493 ( 60,  926)";"183 (22, 344)";" 985 (119, 1851)";"282 ( 34, 530)";"122 (15, 229)";"155 (19, 291)";"3527 (2391, 4663)"
"2015-03-24";"132";"108812 (12929, 204695)";"120 (15, 225)";"245 ( 29, 461)";"60 ( 7, 113)";"136 (16, 256)";"180 (22, 338)";"365 ( 44, 686)";"180 (22, 338)";"484 ( 57,  911)";"180 (22, 338)";" 968 (115, 1821)";"277 ( 32, 522)";"120 (15, 225)";"152 (18, 286)";"3467 (2348, 4586)"
"2015-03-23";"131";"106954 (12508, 201400)";"118 (14, 222)";"241 ( 28, 454)";"59 ( 7, 111)";"134 (16, 252)";"176 (20, 332)";"358 ( 42, 674)";"176 (20, 332)";"476 ( 56,  896)";"176 (20, 332)";" 952 (111, 1793)";"273 ( 32, 514)";"118 (14, 222)";"150 (18, 282)";"3407 (2305, 4509)"
"2015-03-22";"130";"105104 (12112, 198096)";"116 (14, 218)";"236 ( 27, 445)";"58 ( 7, 109)";"131 (15, 247)";"173 (20, 326)";"352 ( 40, 664)";"173 (20, 326)";"468 ( 54,  882)";"173 (20, 326)";" 935 (107, 1763)";"268 ( 31, 505)";"116 (14, 218)";"147 (17, 277)";"3346 (2261, 4431)"
"2015-03-21";"129";"103264 (11740, 194788)";"114 (13, 215)";"232 ( 26, 438)";"57 ( 7, 107)";"129 (15, 243)";"170 (19, 321)";"346 ( 39, 653)";"170 (19, 321)";"460 ( 53,  867)";"170 (19, 321)";" 919 (104, 1734)";"263 ( 30, 496)";"114 (13, 215)";"145 (17, 273)";"3289 (2221, 4357)"
"2015-03-20";"128";"101433 (11391, 191475)";"112 (13, 211)";"228 ( 25, 431)";"56 ( 6, 106)";"127 (14, 240)";"167 (18, 316)";"340 ( 38, 642)";"167 (18, 316)";"451 ( 50,  852)";"167 (18, 316)";" 903 (102, 1704)";"259 ( 29, 489)";"112 (13, 211)";"142 (16, 268)";"3231 (2180, 4282)"
"2015-03-19";"127";" 99613 (11065, 188161)";"110 (13, 207)";"224 ( 25, 423)";"55 ( 6, 104)";"125 (14, 236)";"164 (18, 310)";"334 ( 37, 631)";"164 (18, 310)";"443 ( 49,  837)";"164 (18, 310)";" 887 ( 99, 1675)";"254 ( 28, 480)";"110 (13, 207)";"139 (15, 263)";"3173 (2140, 4206)"
"2015-03-18";"126";" 97806 (10760, 184852)";"108 (12, 204)";"220 ( 24, 416)";"54 ( 6, 102)";"122 (13, 231)";"161 (17, 305)";"328 ( 36, 620)";"161 (17, 305)";"435 ( 48,  822)";"161 (17, 305)";" 870 ( 95, 1645)";"249 ( 27, 471)";"108 (12, 204)";"137 (15, 259)";"3114 (2098, 4130)"
"2015-03-17";"125";" 96011 (10476, 181546)";"106 (12, 200)";"216 ( 24, 408)";"53 ( 6, 100)";"120 (13, 227)";"158 (17, 299)";"322 ( 35, 609)";"158 (17, 299)";"427 ( 46,  808)";"158 (17, 299)";" 854 ( 93, 1615)";"245 ( 27, 463)";"106 (12, 200)";"134 (14, 254)";"3057 (2059, 4055)"
"2015-03-16";"124";" 94230 (10212, 178248)";"104 (12, 196)";"212 ( 23, 401)";"52 ( 6,  98)";"118 (13, 223)";"155 (16, 294)";"316 ( 35, 597)";"155 (16, 294)";"419 ( 45,  793)";"155 (16, 294)";" 839 ( 91, 1587)";"240 ( 26, 454)";"104 (12, 196)";"132 (14, 250)";"3001 (2020, 3982)"
"2015-03-15";"123";" 92463 ( 9967, 174959)";"102 (11, 193)";"208 ( 22, 394)";"51 ( 6,  96)";"116 (13, 219)";"153 (17, 289)";"310 ( 34, 586)";"153 (17, 289)";"411 ( 44,  778)";"153 (17, 289)";" 823 ( 89, 1557)";"236 ( 26, 446)";"102 (11, 193)";"129 (14, 244)";"2947 (1984, 3910)"
