"Date";"Days from today";"Cases (reported)";"New daily cases (reported)";"Cases (total)";"New daily cases (total)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"CDC 25% ETU target";"CDC 45% reduced transmission target";"Reporting quotient"
"2015-03-09";"117";"16004 (-11094,  43103)";"308 ( -514, 1130)";" 83214 ( -69976, 236404)";"1626 ( -2962,  6215)";"18738 ( -34309,  71784)";"12294 (-20639,  45228)";"2331 ( -3551,  8212)";" 3656 ( -4707, 12020)";" 6581 ( -8473, 21636)";"40%"
"2015-03-08";"116";"15696 (-10586,  41978)";"302 ( -497, 1100)";" 81587 ( -67042, 230217)";"1592 ( -2868,  6053)";"18344 ( -33227,  69915)";"12037 (-19962,  44036)";"2282 ( -3430,  7994)";" 3580 ( -4547, 11706)";" 6443 ( -8184, 21071)";"40%"
"2015-03-07";"115";"15395 (-10094,  40883)";"295 ( -481, 1071)";" 79995 ( -64202, 224192)";"1559 ( -2777,  5894)";"17958 ( -32174,  68090)";"11785 (-19304,  42874)";"2235 ( -3313,  7782)";" 3505 ( -4390, 11400)";" 6309 ( -7902, 20520)";"40%"
"2015-03-06";"114";"15099 ( -9618,  39817)";"289 ( -465, 1043)";" 78436 ( -61452, 218325)";"1526 ( -2688,  5740)";"17580 ( -31148,  66308)";"11538 (-18664,  41740)";"2188 ( -3199,  7575)";" 3432 ( -4238, 11101)";" 6177 ( -7628, 19982)";"40%"
"2015-03-05";"113";"14810 ( -9159,  38780)";"283 ( -449, 1015)";" 76911 ( -58790, 212611)";"1494 ( -2602,  5589)";"17211 ( -30148,  64570)";"11297 (-18041,  40635)";"2143 ( -3088,  7373)";" 3360 ( -4090, 10810)";" 6048 ( -7362, 19458)";"40%"
"2015-03-04";"112";"14527 ( -8715,  37770)";"277 ( -434,  988)";" 75417 ( -56215, 207048)";"1462 ( -2517,  5442)";"16849 ( -29175,  62873)";"11061 (-17436,  39558)";"2098 ( -2980,  7177)";" 3290 ( -3947, 10526)";" 5922 ( -7104, 18947)";"40%"
"2015-03-03";"111";"14250 ( -8286,  36786)";"271 ( -419,  962)";" 73954 ( -53723, 201632)";"1432 ( -2436,  5299)";"16495 ( -28228,  61218)";"10830 (-16848,  38508)";"2055 ( -2876,  6985)";" 3221 ( -3807, 10250)";" 5798 ( -6853, 18449)";"40%"
"2015-03-02";"110";"13979 ( -7871,  35829)";"266 ( -405,  936)";" 72523 ( -51313, 196358)";"1402 ( -2356,  5159)";"16149 ( -27306,  59604)";"10604 (-16277,  37484)";"2012 ( -2775,  6799)";" 3154 ( -3672,  9980)";" 5677 ( -6609, 17964)";"40%"
"2015-03-01";"109";"13713 ( -7471,  34897)";"260 ( -391,  911)";" 71121 ( -48982, 191224)";"1372 ( -2278,  5023)";"15810 ( -26410,  58030)";"10383 (-15722,  36488)";"1971 ( -2677,  6618)";" 3088 ( -3540,  9717)";" 5559 ( -6373, 17491)";"40%"
"2015-02-28";"108";"13453 ( -7084,  33991)";"255 ( -378,  887)";" 69749 ( -46729, 186226)";"1343 ( -2203,  4890)";"15479 ( -25538,  56495)";"10166 (-15183,  35516)";"1930 ( -2581,  6441)";" 3024 ( -3413,  9461)";" 5443 ( -6143, 17030)";"40%"
