"Date";"Days from today";"Cases (reported)";"New daily cases (reported)";"Cases (total)";"New daily cases (total)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"CDC 25% ETU target";"CDC 45% reduced transmission target";"Reporting quotient"
"2015-03-29";"137";"168584 (-42178, 379346)";"3549 (-1377,  8476)";" 890455 (-241644, 2022555)";"17984 (-6439, 42406)";"206432 (-73304, 486168)";"141290 (-54548, 337129)";"27545 (-11097, 66187)";"42209 (-7695,  92112)";" 75976 (-13851, 165802)";"40%"
"2015-03-28";"136";"165035 (-40811, 370881)";"3493 (-1369,  8356)";" 872472 (-235312, 1980256)";"17734 (-6452, 41919)";"203593 (-73491, 480676)";"139079 (-54251, 332410)";"27068 (-10963, 65100)";"41537 (-7722,  90796)";" 74766 (-13900, 163432)";"40%"
"2015-03-27";"135";"161542 (-39451, 362535)";"3437 (-1360,  8234)";" 854738 (-228957, 1938433)";"17483 (-6457, 41423)";"200738 (-73593, 475069)";"136869 (-53904, 327642)";"26594 (-10822, 64010)";"40866 (-7736,  89468)";" 73558 (-13925, 161042)";"40%"
"2015-03-26";"134";"158105 (-38100, 354309)";"3381 (-1349,  8112)";" 837255 (-222587, 1897097)";"17231 (-6455, 40917)";"197870 (-73611, 469351)";"134661 (-53508, 322830)";"26122 (-10673, 62918)";"40196 (-7738,  88129)";" 72352 (-13928, 158632)";"40%"
"2015-03-25";"133";"154723 (-36758, 346204)";"3326 (-1337,  7989)";" 820024 (-216210, 1856259)";"16978 (-6446, 40402)";"194991 (-73549, 463530)";"132457 (-53066, 317980)";"25653 (-10518, 61825)";"39528 (-7727,  86782)";" 71150 (-13908, 156207)";"40%"
"2015-03-24";"132";"151398 (-35427, 338222)";"3270 (-1325,  7865)";" 803046 (-209835, 1815927)";"16724 (-6430, 39878)";"192103 (-73407, 457612)";"130258 (-52579, 313096)";"25188 (-10357, 60732)";"38862 (-7704,  85427)";" 69951 (-13866, 153768)";"40%"
"2015-03-23";"131";"148127 (-34109, 330364)";"3215 (-1311,  7740)";" 786322 (-203467, 1776112)";"16470 (-6408, 39348)";"189208 (-73188, 451604)";"128066 (-52049, 308182)";"24726 (-10190, 59641)";"38198 (-7669,  84065)";" 68756 (-13804, 151317)";"40%"
"2015-03-22";"130";"144913 (-32804, 322629)";"3159 (-1296,  7615)";" 769852 (-197116, 1736820)";"16216 (-6379, 38810)";"186309 (-72894, 445511)";"125882 (-51479, 303243)";"24267 (-10017, 58551)";"37537 (-7624,  82698)";" 67567 (-13723, 148857)";"40%"
"2015-03-21";"129";"141753 (-31513, 315019)";"3105 (-1280,  7489)";" 753637 (-190787, 1698060)";"15961 (-6343, 38265)";"183407 (-72527, 439341)";"123707 (-50870, 298285)";"23812 ( -9840, 57464)";"36880 (-7568,  81328)";" 66384 (-13622, 146390)";"40%"
"2015-03-20";"128";"138649 (-30237, 307535)";"3050 (-1263,  7363)";" 737676 (-184489, 1659840)";"15707 (-6302, 37715)";"180505 (-72091, 433100)";"121543 (-50225, 293310)";"23361 ( -9658, 56381)";"36226 (-7502,  79954)";" 65207 (-13504, 143918)";"40%"
"2015-03-19";"127";"135599 (-28978, 300176)";"2996 (-1245,  7237)";" 721969 (-178226, 1622165)";"15452 (-6255, 37159)";"177604 (-71586, 426795)";"119390 (-49545, 288325)";"22915 ( -9472, 55302)";"35576 (-7427,  78579)";" 64037 (-13368, 141442)";"40%"
"2015-03-18";"126";"132603 (-27736, 292943)";"2942 (-1227,  7110)";" 706517 (-172007, 1585041)";"15198 (-6202, 36599)";"174707 (-71017, 420432)";"117250 (-48834, 283334)";"22472 ( -9283, 54228)";"34931 (-7342,  77204)";" 62875 (-13216, 138967)";"40%"
"2015-03-17";"125";"129662 (-26513, 285836)";"2888 (-1208,  6984)";" 691318 (-165836, 1548473)";"14945 (-6144, 36034)";"171816 (-70386, 414019)";"115124 (-48092, 278340)";"22035 ( -9090, 53160)";"34290 (-7250,  75829)";" 61721 (-13049, 136492)";"40%"
"2015-03-16";"124";"126774 (-25308, 278855)";"2835 (-1188,  6857)";" 676373 (-159720, 1512467)";"14692 (-6081, 35466)";"168932 (-69696, 407561)";"113013 (-47323, 273348)";"21601 ( -8895, 52098)";"33654 (-7149,  74456)";" 60576 (-12868, 134021)";"40%"
"2015-03-15";"123";"123939 (-24122, 272001)";"2782 (-1168,  6731)";" 661681 (-153664, 1477026)";"14441 (-6013, 34895)";"166058 (-68949, 401065)";"110917 (-46528, 268363)";"21173 ( -8697, 51043)";"33023 (-7041,  73086)";" 59441 (-12673, 131555)";"40%"
