"Date";"Days from today";"Cases (reported/treated)";"New cases/day (reported/treated)";"Cases (total)";"New cases/day (total)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"CDC 25% ETU target";"CDC 45% reduced transmission target";"Reporting quotient"
"2014-10-03";"-19";" 3894 (3471,  4316)";"76";"22107 (19768,  24445)";"464";" 5323 (4273,  6374)";"3907 (3303,  4511)";" 664 (582,  746)";"1143 ( 990, 1295)";"2057 (1783, 2331)";"34%"
"2014-10-02";"-20";" 3818 (3401,  4235)";"75";"21642 (19349,  23936)";"459";" 5266 (4256,  6275)";"3860 (3281,  4439)";" 660 (580,  739)";"1130 ( 984, 1276)";"2034 (1771, 2297)";"34%"
"2014-10-01";"-21";" 3743 (3330,  4155)";"75";"21183 (18932,  23434)";"454";" 5208 (4238,  6178)";"3814 (3259,  4370)";" 655 (577,  733)";"1117 ( 977, 1258)";"2011 (1759, 2264)";"34%"
"2014-09-30";"-22";" 3668 (3260,  4075)";"75";"20729 (18517,  22940)";"449";" 5152 (4220,  6083)";"3768 (3235,  4302)";" 651 (575,  727)";"1105 ( 970, 1239)";"1989 (1746, 2231)";"34%"
"2014-09-29";"-23";" 3593 (3191,  3995)";"74";"20279 (18106,  22453)";"445";" 5096 (4201,  5990)";"3723 (3211,  4235)";" 646 (571,  721)";"1092 ( 963, 1222)";"1966 (1733, 2199)";"34%"
"2014-09-28";"-24";" 3519 (3121,  3916)";"74";"19835 (17697,  21973)";"440";" 5040 (4182,  5899)";"3679 (3186,  4171)";" 641 (568,  715)";"1080 ( 956, 1204)";"1944 (1720, 2168)";"34%"
"2014-09-27";"-25";" 3445 (3053,  3838)";"73";"19395 (17291,  21499)";"435";" 4985 (4161,  5809)";"3634 (3161,  4108)";" 637 (564,  709)";"1068 ( 948, 1188)";"1922 (1706, 2138)";"35%"
"2014-09-26";"-26";" 3372 (2984,  3759)";"73";"18960 (16888,  21032)";"430";" 4931 (4140,  5721)";"3591 (3134,  4047)";" 632 (561,  703)";"1056 ( 940, 1171)";"1900 (1692, 2108)";"35%"
"2014-09-25";"-27";" 3299 (2916,  3681)";"73";"18530 (16489,  20571)";"425";" 4877 (4118,  5635)";"3547 (3107,  3988)";" 627 (556,  698)";"1044 ( 932, 1155)";"1879 (1678, 2079)";"35%"
"2014-09-24";"-28";" 3226 (2849,  3604)";"72";"18104 (16093,  20116)";"421";" 4824 (4096,  5551)";"3505 (3079,  3931)";" 622 (552,  693)";"1032 ( 924, 1140)";"1857 (1663, 2051)";"35%"
"2014-09-23";"-29";" 3154 (2782,  3526)";"72";"17684 (15701,  19666)";"416";" 4771 (4072,  5469)";"3462 (3049,  3875)";" 618 (547,  688)";"1020 ( 915, 1125)";"1836 (1647, 2024)";"35%"
"2014-09-22";"-30";" 3082 (2715,  3449)";"71";"17267 (15313,  19222)";"412";" 4719 (4048,  5390)";"3420 (3019,  3822)";" 613 (542,  683)";"1008 ( 906, 1110)";"1815 (1632, 1998)";"35%"
"2014-09-21";"-31";" 3011 (2649,  3372)";"71";"16856 (14929,  18783)";"407";" 4667 (4023,  5312)";"3379 (2988,  3770)";" 608 (537,  678)";" 997 ( 897, 1096)";"1794 (1615, 1973)";"36%"
"2014-09-20";"-32";" 2939 (2583,  3295)";"71";"16449 (14549,  18348)";"403";" 4616 (3996,  5236)";"3338 (2956,  3720)";" 602 (532,  673)";" 985 ( 888, 1082)";"1773 (1598, 1948)";"36%"
"2014-09-19";"-33";" 2869 (2518,  3219)";"70";"16046 (14173,  17919)";"398";" 4566 (3969,  5162)";"3297 (2923,  3672)";" 597 (526,  668)";" 974 ( 878, 1069)";"1753 (1581, 1924)";"36%"
"2014-09-18";"-34";" 2798 (2454,  3143)";"70";"15648 (13802,  17494)";"394";" 4516 (3941,  5091)";"3257 (2889,  3626)";" 592 (520,  663)";" 962 ( 868, 1056)";"1732 (1563, 1901)";"36%"
"2014-09-17";"-35";" 2728 (2390,  3067)";"70";"15254 (13435,  17073)";"390";" 4466 (3911,  5022)";"3217 (2854,  3581)";" 586 (514,  658)";" 951 ( 858, 1044)";"1712 (1545, 1879)";"36%"
"2014-09-16";"-36";" 2659 (2327,  2991)";"69";"14864 (13072,  16656)";"385";" 4417 (3880,  4955)";"3178 (2818,  3538)";" 581 (508,  653)";" 940 ( 848, 1032)";"1691 (1526, 1857)";"36%"
"2014-09-15";"-37";" 2590 (2264,  2915)";"69";"14479 (12714,  16243)";"381";" 4369 (3848,  4890)";"3139 (2781,  3497)";" 575 (502,  648)";" 928 ( 837, 1020)";"1671 (1507, 1836)";"37%"
"2014-09-14";"-38";" 2521 (2202,  2840)";"68";"14098 (12361,  15834)";"377";" 4322 (3815,  4828)";"3100 (2744,  3457)";" 569 (495,  643)";" 917 ( 826, 1008)";"1651 (1487, 1815)";"37%"
"2014-09-13";"-39";" 2453 (2140,  2765)";"68";"13720 (12012,  15429)";"373";" 4275 (3781,  4769)";"3062 (2705,  3419)";" 563 (488,  637)";" 906 ( 815,  997)";"1631 (1467, 1795)";"37%"
"2014-09-12";"-40";" 2385 (2080,  2690)";"68";"13348 (11668,  15027)";"369";" 4229 (3745,  4712)";"3024 (2666,  3381)";" 556 (481,  631)";" 895 ( 804,  986)";"1611 (1447, 1775)";"37%"
"2014-09-11";"-41";" 2317 (2019,  2615)";"67";"12979 (11328,  14629)";"365";" 4183 (3709,  4657)";"2986 (2627,  3345)";" 550 (474,  625)";" 884 ( 792,  976)";"1591 (1426, 1756)";"37%"
"2014-09-10";"-42";" 2250 (1959,  2540)";"67";"12614 (10993,  14234)";"361";" 4138 (3671,  4605)";"2948 (2587,  3310)";" 543 (466,  619)";" 873 ( 780,  965)";"1571 (1405, 1737)";"37%"
"2014-09-09";"-43";" 2183 (1900,  2465)";"66";"12253 (10663,  13842)";"357";" 4094 (3632,  4556)";"2911 (2546,  3275)";" 535 (459,  612)";" 861 ( 768,  955)";"1551 (1383, 1718)";"37%"
"2014-09-08";"-44";" 2116 (1842,  2391)";"66";"11895 (10338,  13453)";"353";" 4051 (3592,  4510)";"2873 (2505,  3241)";" 528 (451,  604)";" 850 ( 756,  944)";"1530 (1361, 1700)";"38%"
"2014-09-07";"-45";" 2050 (1784,  2317)";"66";"11542 (10017,  13066)";"350";" 4009 (3551,  4466)";"2836 (2464,  3208)";" 520 (443,  596)";" 839 ( 744,  934)";"1510 (1339, 1681)";"38%"
"2014-09-06";"-46";" 1985 (1727,  2243)";"65";"11192 ( 9701,  12683)";"346";" 3968 (3510,  4426)";"2798 (2422,  3174)";" 511 (434,  588)";" 827 ( 731,  923)";"1489 (1316, 1662)";"38%"
"2014-09-05";"-47";" 1920 (1670,  2169)";"65";"10846 ( 9390,  12302)";"343";" 3928 (3468,  4388)";"2760 (2380,  3140)";" 502 (425,  579)";" 816 ( 719,  913)";"1468 (1293, 1643)";"38%"
"2014-09-04";"-48";" 1855 (1615,  2096)";"64";"10503 ( 9083,  11923)";"340";" 3889 (3425,  4353)";"2722 (2337,  3106)";" 493 (416,  569)";" 804 ( 706,  902)";"1447 (1270, 1623)";"38%"
"2014-09-03";"-49";" 1791 (1559,  2022)";"64";"10163 ( 8780,  11546)";"336";" 3852 (3383,  4322)";"2683 (2294,  3071)";" 483 (407,  558)";" 791 ( 692,  890)";"1425 (1246, 1603)";"38%"
"2014-09-02";"-50";" 1727 (1505,  1950)";"63";" 9827 ( 8482,  11172)";"333";" 3817 (3341,  4294)";"2643 (2251,  3035)";" 472 (398,  547)";" 779 ( 679,  879)";"1402 (1222, 1581)";"39%"
"2014-09-01";"-51";" 1664 (1451,  1877)";"63";" 9494 ( 8188,  10799)";"331";" 3784 (3299,  4270)";"2602 (2207,  2997)";" 461 (388,  535)";" 766 ( 665,  866)";"1378 (1197, 1559)";"39%"
"2014-08-31";"-52";" 1602 (1398,  1805)";"62";" 9163 ( 7899,  10427)";"328";" 3754 (3258,  4250)";"2559 (2162,  2957)";" 449 (377,  522)";" 752 ( 651,  853)";"1354 (1172, 1536)";"39%"
"2014-08-30";"-53";" 1540 (1346,  1733)";"61";" 8835 ( 7613,  10057)";"326";" 3727 (3219,  4235)";"2515 (2116,  2914)";" 437 (367,  508)";" 738 ( 637,  839)";"1328 (1146, 1511)";"39%"
"2014-08-29";"-54";" 1478 (1295,  1662)";"60";" 8509 ( 7331,   9687)";"324";" 3704 (3182,  4226)";"2468 (2068,  2867)";" 424 (356,  493)";" 723 ( 622,  824)";"1301 (1119, 1484)";"39%"
"2014-08-28";"-55";" 1418 (1244,  1592)";"60";" 8185 ( 7052,   9318)";"323";" 3685 (3146,  4223)";"2417 (2019,  2816)";" 410 (344,  477)";" 707 ( 606,  808)";"1272 (1091, 1454)";"39%"
"2014-08-27";"-56";" 1359 (1194,  1523)";"58";" 7862 ( 6777,   8948)";"322";" 3672 (3114,  4229)";"2363 (1968,  2758)";" 396 (333,  460)";" 690 ( 590,  790)";"1242 (1061, 1422)";"40%"
"2014-08-26";"-57";" 1300 (1146,  1454)";"57";" 7541 ( 6505,   8577)";"321";" 3665 (3087,  4243)";"2303 (1913,  2693)";" 381 (321,  442)";" 671 ( 572,  770)";"1208 (1030, 1386)";"40%"
"2014-08-25";"-58";" 1243 (1098,  1387)";"56";" 7219 ( 6235,   8204)";"322";" 3666 (3064,  4269)";"2237 (1855,  2619)";" 366 (309,  424)";" 651 ( 554,  747)";"1171 ( 998, 1345)";"40%"
"2014-08-24";"-59";" 1187 (1052,  1322)";"54";" 6897 ( 5966,   7828)";"324";" 3678 (3047,  4308)";"2163 (1793,  2533)";" 350 (296,  405)";" 628 ( 535,  722)";"1131 ( 963, 1299)";"40%"
"2014-08-23";"-60";" 1133 (1007,  1258)";"52";" 6574 ( 5699,   7448)";"326";" 3702 (3039,  4364)";"2078 (1724,  2433)";" 335 (284,  386)";" 603 ( 514,  693)";"1086 ( 925, 1247)";"40%"
"2014-08-22";"-61";" 1080 ( 963,  1197)";"50";" 6247 ( 5433,   7062)";"320";" 3740 (3041,  4440)";"1981 (1648,  2315)";" 320 (272,  367)";" 575 ( 491,  659)";"1035 ( 884, 1187)";"41%"
"2014-08-21";"-62";" 1030 ( 922,  1139)";"48";" 5927 ( 5172,   6682)";"304";" 3553 (2899,  4206)";"1880 (1569,  2190)";" 305 (260,  349)";" 546 ( 468,  625)";" 983 ( 842, 1124)";"41%"
