"Date";"Days from today";"Cases (reported/treated)";"New cases/day (reported/treated)";"Cases (total)";"New cases/day (total)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"CDC 25% ETU target";"CDC 45% reduced transmission target";"Reporting quotient"
"2014-11-12";"21";" 7072 ( 6245,  7899)";"176";" 52315 ( 43832,  60797)";"1605";"18570 (13237, 23903)";"12114 ( 8990, 15238)";"1384 (1071, 1696)";"3374 (2590,  4159)";" 6074 ( 4661,  7487)";"28%"
"2014-11-11";"20";" 6896 ( 6113,  7678)";"172";" 50710 ( 42683,  58737)";"1558";"18025 (12915, 23134)";"11741 ( 8759, 14722)";"1348 (1050, 1647)";"3272 (2523,  4021)";" 5890 ( 4542,  7239)";"28%"
"2014-11-10";"19";" 6724 ( 5984,  7463)";"168";" 49152 ( 41561,  56744)";"1512";"17493 (12600, 22387)";"11378 ( 8534, 14222)";"1314 (1028, 1600)";"3173 (2458,  3887)";" 5711 ( 4425,  6997)";"28%"
"2014-11-09";"18";" 6556 ( 5857,  7255)";"164";" 47641 ( 40467,  54815)";"1467";"16976 (12292, 21660)";"11025 ( 8314, 13736)";"1280 (1007, 1553)";"3076 (2395,  3758)";" 5537 ( 4311,  6764)";"28%"
"2014-11-08";"17";" 6392 ( 5733,  7051)";"160";" 46174 ( 39399,  52949)";"1423";"16471 (11990, 20953)";"10682 ( 8098, 13266)";"1247 ( 987, 1508)";"2982 (2333,  3632)";" 5368 ( 4200,  6537)";"28%"
"2014-11-07";"16";" 6232 ( 5610,  6854)";"156";" 44751 ( 38357,  51144)";"1381";"15980 (11695, 20266)";"10349 ( 7888, 12809)";"1215 ( 966, 1464)";"2891 (2273,  3509)";" 5204 ( 4091,  6317)";"28%"
"2014-11-06";"15";" 6076 ( 5491,  6662)";"152";" 43370 ( 37341,  49399)";"1339";"15502 (11406, 19599)";"10025 ( 7682, 12367)";"1184 ( 946, 1421)";"2802 (2214,  3391)";" 5044 ( 3984,  6103)";"29%"
"2014-11-05";"14";" 5924 ( 5373,  6475)";"148";" 42030 ( 36350,  47711)";"1299";"15037 (11123, 18951)";" 9710 ( 7482, 11939)";"1153 ( 927, 1379)";"2716 (2156,  3276)";" 4888 ( 3880,  5896)";"29%"
"2014-11-04";"13";" 5776 ( 5258,  6294)";"145";" 40731 ( 35383,  46079)";"1260";"14584 (10846, 18321)";" 9405 ( 7286, 11524)";"1123 ( 907, 1339)";"2632 (2099,  3164)";" 4737 ( 3779,  5696)";"29%"
"2014-11-03";"12";" 5631 ( 5145,  6118)";"141";" 39472 ( 34441,  44503)";"1222";"14143 (10576, 17710)";" 9108 ( 7094, 11122)";"1094 ( 888, 1299)";"2550 (2044,  3056)";" 4591 ( 3680,  5502)";"29%"
