"Date";"Days from today";"Cases (reported/treated)";"New cases/day (reported/treated)";"Cases (total)";"New cases/day (total)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"CDC 25% ETU target";"CDC 45% reduced transmission target";"Reporting quotient"
"2014-09-27";"-25";" 6787 ( 6379,  7195)";"144";" 36804 ( 34618,  38990)";"930";"10728 ( 9686,  11770)";" 7170 ( 6619,  7722)";"1162 (1083, 1240)";" 2083 (1944,  2222)";" 3749 ( 3499,  4000)";"35%"
"2014-09-26";"-26";" 6643 ( 6240,  7046)";"142";" 35874 ( 33722,  38025)";"909";"10486 ( 9499,  11473)";" 7008 ( 6483,  7532)";"1142 (1066, 1219)";" 2037 (1905,  2170)";" 3667 ( 3429,  3906)";"35%"
"2014-09-25";"-27";" 6501 ( 6103,  6899)";"139";" 34964 ( 32846,  37083)";"889";"10250 ( 9315,  11185)";" 6849 ( 6349,  7350)";"1123 (1048, 1199)";" 1993 (1867,  2120)";" 3588 ( 3360,  3815)";"35%"
"2014-09-24";"-28";" 6362 ( 5968,  6755)";"137";" 34075 ( 31988,  36163)";"869";"10021 ( 9135,  10906)";" 6695 ( 6217,  7174)";"1105 (1030, 1180)";" 1950 (1829,  2071)";" 3510 ( 3292,  3728)";"35%"
"2014-09-23";"-29";" 6224 ( 5836,  6613)";"135";" 33206 ( 31148,  35264)";"850";" 9798 ( 8958,  10637)";" 6546 ( 6087,  7004)";"1086 (1012, 1161)";" 1908 (1792,  2024)";" 3434 ( 3225,  3644)";"35%"
"2014-09-22";"-30";" 6089 ( 5705,  6473)";"133";" 32356 ( 30326,  34387)";"831";" 9581 ( 8784,  10377)";" 6400 ( 5958,  6841)";"1069 ( 994, 1143)";" 1867 (1755,  1979)";" 3361 ( 3159,  3562)";"35%"
"2014-09-21";"-31";" 5956 ( 5578,  6335)";"131";" 31525 ( 29522,  33529)";"813";" 9369 ( 8614,  10125)";" 6258 ( 5831,  6684)";"1051 ( 977, 1125)";" 1827 (1719,  1935)";" 3289 ( 3094,  3484)";"36%"
"2014-09-20";"-32";" 5825 ( 5452,  6198)";"129";" 30712 ( 28735,  32689)";"795";" 9164 ( 8446,   9882)";" 6120 ( 5706,  6533)";"1034 ( 959, 1108)";" 1788 (1683,  1893)";" 3219 ( 3030,  3408)";"36%"
"2014-09-19";"-33";" 5696 ( 5328,  6064)";"127";" 29917 ( 27966,  31868)";"778";" 8964 ( 8281,   9648)";" 5985 ( 5582,  6388)";"1016 ( 942, 1091)";" 1750 (1648,  1853)";" 3151 ( 2966,  3335)";"36%"
"2014-09-18";"-34";" 5569 ( 5207,  5931)";"125";" 29139 ( 27214,  31065)";"761";" 8770 ( 8118,   9421)";" 5854 ( 5460,  6248)";"1000 ( 924, 1075)";" 1713 (1613,  1814)";" 3084 ( 2904,  3265)";"36%"
"2014-09-17";"-35";" 5444 ( 5088,  5800)";"123";" 28378 ( 26479,  30278)";"745";" 8580 ( 7958,   9203)";" 5727 ( 5339,  6114)";" 983 ( 907, 1059)";" 1677 (1579,  1776)";" 3019 ( 2842,  3197)";"36%"
"2014-09-16";"-36";" 5321 ( 4971,  5671)";"121";" 27634 ( 25760,  29508)";"729";" 8396 ( 7800,   8993)";" 5603 ( 5220,  5985)";" 966 ( 890, 1043)";" 1642 (1545,  1740)";" 2956 ( 2781,  3132)";"36%"
"2014-09-15";"-37";" 5199 ( 4856,  5543)";"120";" 26905 ( 25058,  28753)";"713";" 8217 ( 7644,   8790)";" 5482 ( 5102,  5861)";" 950 ( 873, 1028)";" 1608 (1511,  1705)";" 2894 ( 2720,  3069)";"37%"
"2014-09-14";"-38";" 5080 ( 4743,  5417)";"118";" 26192 ( 24372,  28013)";"698";" 8043 ( 7491,   8596)";" 5364 ( 4986,  5741)";" 934 ( 856, 1012)";" 1574 (1478,  1671)";" 2834 ( 2661,  3008)";"37%"
"2014-09-13";"-39";" 4962 ( 4632,  5292)";"116";" 25494 ( 23701,  27287)";"683";" 7874 ( 7339,   8409)";" 5249 ( 4872,  5626)";" 918 ( 839,  997)";" 1542 (1445,  1638)";" 2775 ( 2602,  2949)";"37%"
"2014-09-12";"-40";" 4846 ( 4523,  5169)";"114";" 24811 ( 23046,  26575)";"669";" 7709 ( 7189,   8229)";" 5137 ( 4759,  5515)";" 902 ( 822,  982)";" 1510 (1413,  1606)";" 2718 ( 2544,  2891)";"37%"
"2014-09-11";"-41";" 4732 ( 4416,  5047)";"113";" 24142 ( 22406,  25877)";"655";" 7548 ( 7040,   8056)";" 5028 ( 4648,  5408)";" 886 ( 806,  967)";" 1478 (1381,  1576)";" 2661 ( 2486,  2836)";"37%"
"2014-09-10";"-42";" 4619 ( 4311,  4927)";"111";" 23486 ( 21781,  25192)";"642";" 7393 ( 6894,   7891)";" 4921 ( 4538,  5304)";" 870 ( 789,  951)";" 1448 (1350,  1546)";" 2606 ( 2430,  2782)";"37%"
"2014-09-09";"-43";" 4508 ( 4208,  4808)";"109";" 22844 ( 21170,  24519)";"629";" 7241 ( 6749,   7733)";" 4817 ( 4431,  5203)";" 854 ( 773,  936)";" 1418 (1319,  1517)";" 2552 ( 2375,  2730)";"37%"
"2014-09-08";"-44";" 4398 ( 4106,  4690)";"108";" 22216 ( 20573,  23858)";"616";" 7094 ( 6607,   7581)";" 4715 ( 4325,  5105)";" 839 ( 757,  920)";" 1388 (1289,  1488)";" 2499 ( 2320,  2679)";"38%"
"2014-09-07";"-45";" 4291 ( 4007,  4574)";"106";" 21600 ( 19990,  23209)";"604";" 6951 ( 6466,   7436)";" 4616 ( 4221,  5010)";" 823 ( 741,  905)";" 1360 (1259,  1460)";" 2447 ( 2266,  2629)";"38%"
"2014-09-06";"-46";" 4184 ( 3909,  4460)";"105";" 20996 ( 19421,  22571)";"592";" 6812 ( 6327,   7298)";" 4518 ( 4119,  4917)";" 807 ( 725,  889)";" 1331 (1229,  1433)";" 2396 ( 2213,  2580)";"38%"
"2014-09-05";"-47";" 4080 ( 3813,  4346)";"103";" 20405 ( 18865,  21944)";"580";" 6678 ( 6190,   7166)";" 4422 ( 4018,  4826)";" 791 ( 709,  872)";" 1303 (1200,  1406)";" 2346 ( 2160,  2531)";"38%"
"2014-09-04";"-48";" 3976 ( 3719,  4234)";"102";" 19824 ( 18321,  21328)";"569";" 6548 ( 6056,   7040)";" 4328 ( 3920,  4737)";" 774 ( 693,  856)";" 1276 (1171,  1380)";" 2296 ( 2109,  2484)";"38%"
"2014-09-03";"-49";" 3875 ( 3626,  4123)";"100";" 19256 ( 17791,  20721)";"558";" 6422 ( 5924,   6920)";" 4236 ( 3822,  4649)";" 758 ( 677,  839)";" 1248 (1143,  1354)";" 2247 ( 2058,  2437)";"38%"
"2014-09-02";"-50";" 3774 ( 3535,  4014)";"99";" 18698 ( 17272,  20123)";"548";" 6301 ( 5795,   6807)";" 4144 ( 3727,  4562)";" 741 ( 661,  821)";" 1221 (1115,  1328)";" 2198 ( 2007,  2390)";"39%"
"2014-09-01";"-51";" 3676 ( 3446,  3906)";"97";" 18150 ( 16765,  19535)";"538";" 6184 ( 5669,   6700)";" 4054 ( 3633,  4475)";" 724 ( 645,  803)";" 1194 (1087,  1301)";" 2150 ( 1957,  2343)";"39%"
"2014-08-31";"-52";" 3579 ( 3358,  3799)";"96";" 17613 ( 16270,  18956)";"528";" 6072 ( 5545,   6599)";" 3964 ( 3540,  4387)";" 707 ( 629,  784)";" 1168 (1060,  1275)";" 2102 ( 1908,  2295)";"39%"
"2014-08-30";"-53";" 3483 ( 3272,  3694)";"94";" 17085 ( 15785,  18384)";"519";" 5966 ( 5426,   6506)";" 3874 ( 3448,  4299)";" 689 ( 614,  765)";" 1141 (1033,  1249)";" 2053 ( 1859,  2248)";"39%"
"2014-08-29";"-54";" 3389 ( 3188,  3590)";"92";" 16566 ( 15312,  17820)";"510";" 5865 ( 5309,   6420)";" 3783 ( 3357,  4209)";" 671 ( 598,  745)";" 1114 (1006,  1222)";" 2004 ( 1810,  2199)";"39%"
